value,time
261.3570598968789,2025-07-02T13:54:07.744741+00:00
251.8327855476543,2025-07-02T13:54:11.733365+00:00
241.75722074730695,2025-07-02T13:54:15.728997+00:00
231.85841192782516,2025-07-02T13:54:19.731871+00:00
222.77346700156141,2025-07-02T13:54:23.740514+00:00
213.47442935432423,2025-07-02T13:54:27.737146+00:00
204.53107853635913,2025-07-02T13:54:31.741786+00:00
195.0432922572946,2025-07-02T13:54:35.735415+00:00
185.7465089822463,2025-07-02T13:54:39.727042+00:00
176.5691917510499,2025-07-02T13:54:43.738688+00:00
166.75999545821475,2025-07-02T13:54:47.734319+00:00
157.81784312267328,2025-07-02T13:54:51.727948+00:00
147.85678061961485,2025-07-02T13:54:55.739077+00:00
138.40955940627913,2025-07-02T13:54:59.731946+00:00
129.4986544014886,2025-07-02T13:55:03.741591+00:00
120.26258784616998,2025-07-02T13:55:07.733218+00:00
110.44527585373386,2025-07-02T13:55:11.732411+00:00
102.6738389023635,2025-07-02T13:55:15.737050+00:00
93.4295368435487,2025-07-02T13:55:19.740923+00:00
83.94832138941807,2025-07-02T13:55:23.733793+00:00
73.80222250504085,2025-07-02T13:55:27.741435+00:00
64.3263160114948,2025-07-02T13:55:31.733063+00:00
55.38023344583401,2025-07-02T13:55:35.728694+00:00
46.180413002636456,2025-07-02T13:55:39.737337+00:00
36.572244838241105,2025-07-02T13:55:43.731967+00:00
27.73919080153659,2025-07-02T13:55:47.728599+00:00
19.02488509270387,2025-07-02T13:55:51.736241+00:00
0.0,2025-07-02T13:55:55.731116+00:00
0.0,2025-07-02T13:55:59.740759+00:00
0.0,2025-07-02T13:56:03.742874+00:00
0.0,2025-07-02T13:56:07.738505+00:00
0.0,2025-07-02T13:56:11.732134+00:00
0.0,2025-07-02T13:56:15.740777+00:00
0.0,2025-07-02T13:56:19.734406+00:00
0.0,2025-07-02T13:56:23.732039+00:00
0.0,2025-07-02T13:56:27.739681+00:00
0.0,2025-07-02T13:56:31.731309+00:00
0.0,2025-07-02T13:56:35.728941+00:00
0.0,2025-07-02T13:56:39.741588+00:00
0.0,2025-07-02T13:56:43.736219+00:00
800.0,2025-07-02T13:56:47.727846+00:00
789.9436590934586,2025-07-02T13:56:51.744497+00:00
781.2907261265015,2025-07-02T13:56:55.734122+00:00
772.0196119574749,2025-07-02T13:56:59.733756+00:00
763.4203436767294,2025-07-02T13:57:03.737394+00:00
753.707004402299,2025-07-02T13:57:07.730023+00:00
743.6221738202638,2025-07-02T13:57:11.738666+00:00
734.1823989220696,2025-07-02T13:57:15.736299+00:00
724.721830490599,2025-07-02T13:57:19.737936+00:00
715.6557277532428,2025-07-02T13:57:23.735569+00:00
706.3381788314225,2025-07-02T13:57:27.730199+00:00
697.2384663473257,2025-07-02T13:57:31.737468+00:00
687.6626623811591,2025-07-02T13:57:35.726093+00:00
678.8619251579536,2025-07-02T13:57:39.736738+00:00
668.9370222933229,2025-07-02T13:57:43.749385+00:00
659.1439219234336,2025-07-02T13:57:47.730002+00:00
649.7065217258661,2025-07-02T13:57:51.725633+00:00
640.3833606692447,2025-07-02T13:57:55.736278+00:00
630.7375599380383,2025-07-02T13:57:59.738915+00:00
622.076695045759,2025-07-02T13:58:03.738551+00:00
612.3668607101156,2025-07-02T13:58:07.724402+00:00
603.3699315532799,2025-07-02T13:58:11.732044+00:00
593.8730465381162,2025-07-02T13:58:15.775719+00:00
585.1407722436908,2025-07-02T13:58:19.721556+00:00
575.7977621108616,2025-07-02T13:58:23.727480+00:00
567.8391517432219,2025-07-02T13:58:27.737698+00:00
558.5583462047828,2025-07-02T13:58:31.724562+00:00
549.2345899839394,2025-07-02T13:58:35.736208+00:00
540.3833960492492,2025-07-02T13:58:39.727064+00:00
531.4515184932688,2025-07-02T13:58:43.736948+00:00
522.2908090200222,2025-07-02T13:58:47.739920+00:00
512.3568587655698,2025-07-02T13:58:51.738554+00:00
503.0802260339357,2025-07-02T13:58:55.732422+00:00
493.89406334739255,2025-07-02T13:58:59.738353+00:00
484.29601393726784,2025-07-02T13:59:03.733574+00:00
473.9742292926451,2025-07-02T13:59:07.725202+00:00
465.5470986860709,2025-07-02T13:59:11.736847+00:00
456.36573509793106,2025-07-02T13:59:15.727473+00:00
448.2098194761496,2025-07-02T13:59:19.735492+00:00
439.5564986037838,2025-07-02T13:59:23.728121+00:00
431.36009478958357,2025-07-02T13:59:27.792814+00:00
421.6717777618116,2025-07-02T13:59:31.739401+00:00
412.25054925274327,2025-07-02T13:59:35.735032+00:00
402.1025202795478,2025-07-02T13:59:39.728661+00:00
392.8852764753917,2025-07-02T13:59:43.741308+00:00
382.499474905705,2025-07-02T13:59:47.726214+00:00
373.76278681720646,2025-07-02T13:59:51.736459+00:00
364.9350303310936,2025-07-02T13:59:55.730567+00:00
355.22849208023763,2025-07-02T13:59:59.729202+00:00
345.82550310369334,2025-07-02T14:00:03.736843+00:00
336.86808839147676,2025-07-02T14:00:07.730472+00:00
327.98418499559676,2025-07-02T14:00:11.731113+00:00
318.2633041944786,2025-07-02T14:00:15.724986+00:00
308.21119089485194,2025-07-02T14:00:19.738633+00:00
298.63962774539345,2025-07-02T14:00:23.731262+00:00
289.7137887376159,2025-07-02T14:00:27.735131+00:00
279.7832448197978,2025-07-02T14:00:31.726758+00:00
270.4430470879639,2025-07-02T14:00:35.723623+00:00
261.06289468374723,2025-07-02T14:00:39.734267+00:00
252.33068604317708,2025-07-02T14:00:43.733902+00:00
243.03778619293132,2025-07-02T14:00:47.726738+00:00
233.92796816512518,2025-07-02T14:00:51.736382+00:00
225.4365951752857,2025-07-02T14:00:55.742151+00:00
215.50021037080145,2025-07-02T14:00:59.729775+00:00
206.3142618470427,2025-07-02T14:01:03.720667+00:00
197.00362717319018,2025-07-02T14:01:07.728309+00:00
187.1761106043406,2025-07-02T14:01:11.733949+00:00
178.78823856668444,2025-07-02T14:01:15.726577+00:00
169.480244612503,2025-07-02T14:01:19.736222+00:00
160.92658626629301,2025-07-02T14:01:23.729134+00:00
152.7401675039534,2025-07-02T14:01:27.734774+00:00
143.26240786696766,2025-07-02T14:01:31.731640+00:00
134.00758742839076,2025-07-02T14:01:35.725269+00:00
125.5598131895937,2025-07-02T14:01:39.739917+00:00
116.71599294252312,2025-07-02T14:01:43.725540+00:00
107.51153470298844,2025-07-02T14:01:47.735183+00:00
98.25652068063562,2025-07-02T14:01:51.728047+00:00
88.61172620192592,2025-07-02T14:01:55.735689+00:00
79.5188283410106,2025-07-02T14:01:59.731320+00:00
70.49564032271905,2025-07-02T14:02:03.735960+00:00
60.26835514208309,2025-07-02T14:02:07.732591+00:00
51.554386888392976,2025-07-02T14:02:11.735229+00:00
42.2256672500848,2025-07-02T14:02:15.722096+00:00
33.111746409922226,2025-07-02T14:02:19.735985+00:00
23.59723844538197,2025-07-02T14:02:23.728823+00:00
14.063863762626314,2025-07-02T14:02:27.722452+00:00
0.0,2025-07-02T14:02:31.735304+00:00
0.0,2025-07-02T14:02:35.732936+00:00
0.0,2025-07-02T14:02:39.736574+00:00
0.0,2025-07-02T14:02:43.729473+00:00
0.0,2025-07-02T14:02:47.734113+00:00
0.0,2025-07-02T14:02:51.730746+00:00
0.0,2025-07-02T14:02:55.727377+00:00
0.0,2025-07-02T14:02:59.724009+00:00
0.0,2025-07-02T14:03:03.731651+00:00
0.0,2025-07-02T14:03:07.728283+00:00
0.0,2025-07-02T14:03:11.738929+00:00
0.0,2025-07-02T14:03:15.734559+00:00
0.0,2025-07-02T14:03:19.732192+00:00
0.0,2025-07-02T14:03:23.729827+00:00
0.0,2025-07-02T14:03:27.736468+00:00
0.0,2025-07-02T14:03:31.729096+00:00
0.0,2025-07-02T14:03:35.730732+00:00
0.0,2025-07-02T14:03:39.728365+00:00
0.0,2025-07-02T14:03:43.730003+00:00
0.0,2025-07-02T14:03:47.724633+00:00
0.0,2025-07-02T14:03:51.730511+00:00
0.0,2025-07-02T14:03:55.733474+00:00
0.0,2025-07-02T14:03:59.734110+00:00
0.0,2025-07-02T14:04:03.722734+00:00
0.0,2025-07-02T14:04:07.734738+00:00
0.0,2025-07-02T14:04:11.733372+00:00
0.0,2025-07-02T14:04:15.727001+00:00
0.0,2025-07-02T14:04:19.723633+00:00
0.0,2025-07-02T14:04:23.735278+00:00
0.0,2025-07-02T14:04:27.733913+00:00
0.0,2025-07-02T14:04:31.725900+00:00
0.0,2025-07-02T14:04:35.732774+00:00
0.0,2025-07-02T14:04:39.721398+00:00
0.0,2025-07-02T14:04:43.719031+00:00
0.0,2025-07-02T14:04:47.726673+00:00
0.0,2025-07-02T14:04:51.720303+00:00
0.0,2025-07-02T14:04:55.725942+00:00
0.0,2025-07-02T14:04:59.736793+00:00
0.0,2025-07-02T14:05:03.725418+00:00
0.0,2025-07-02T14:05:07.720765+00:00
0.0,2025-07-02T14:05:11.722641+00:00
0.0,2025-07-02T14:05:15.727280+00:00
0.0,2025-07-02T14:05:19.721093+00:00
0.0,2025-07-02T14:05:23.728736+00:00
0.0,2025-07-02T14:05:27.726368+00:00
0.0,2025-07-02T14:05:31.735011+00:00
0.0,2025-07-02T14:05:35.725638+00:00
0.0,2025-07-02T14:05:39.723271+00:00
0.0,2025-07-02T14:05:43.727911+00:00
800.0,2025-07-02T14:05:47.726544+00:00
791.1805845778711,2025-07-02T14:05:51.732185+00:00
782.9796134214253,2025-07-02T14:05:55.727816+00:00
773.9154364852415,2025-07-02T14:05:59.732454+00:00
764.5073628772991,2025-07-02T14:06:03.733091+00:00
