value,time
0.0,2025-07-02T13:54:07.747743+00:00
0.0,2025-07-02T13:54:11.736368+00:00
0.0,2025-07-02T13:54:15.733000+00:00
0.0,2025-07-02T13:54:19.735875+00:00
0.0,2025-07-02T13:54:23.746520+00:00
0.0,2025-07-02T13:54:27.742150+00:00
0.0,2025-07-02T13:54:31.747791+00:00
0.0,2025-07-02T13:54:35.742421+00:00
0.0,2025-07-02T13:54:39.734048+00:00
0.0,2025-07-02T13:54:43.745695+00:00
800.0,2025-07-02T13:54:47.742327+00:00
791.7059734345603,2025-07-02T13:54:51.735955+00:00
783.700203540664,2025-07-02T13:54:55.747084+00:00
774.9398273119612,2025-07-02T13:54:59.739953+00:00
767.4208782906486,2025-07-02T13:55:03.750599+00:00
759.336632491488,2025-07-02T13:55:07.743227+00:00
751.3440372821265,2025-07-02T13:55:11.742421+00:00
742.9915473251849,2025-07-02T13:55:15.749062+00:00
734.8765964847913,2025-07-02T13:55:19.751933+00:00
727.5195915587586,2025-07-02T13:55:23.744803+00:00
719.6451127002503,2025-07-02T13:55:27.754447+00:00
711.3580702889276,2025-07-02T13:55:31.744073+00:00
702.8312786645508,2025-07-02T13:55:35.742706+00:00
695.0121610346225,2025-07-02T13:55:39.750349+00:00
686.5133654261717,2025-07-02T13:55:43.745980+00:00
678.1302209350034,2025-07-02T13:55:47.741611+00:00
670.5854096769338,2025-07-02T13:55:51.752255+00:00
662.6286890764175,2025-07-02T13:55:55.746130+00:00
655.0656106322646,2025-07-02T13:55:59.756774+00:00
647.1568616614883,2025-07-02T13:56:03.764894+00:00
639.5188437138763,2025-07-02T13:56:07.756521+00:00
631.1605865266539,2025-07-02T13:56:11.749150+00:00
623.352767904722,2025-07-02T13:56:15.758794+00:00
614.9548511789595,2025-07-02T13:56:19.754425+00:00
607.1378765853223,2025-07-02T13:56:23.750056+00:00
599.0424965011152,2025-07-02T13:56:27.758698+00:00
590.7841712759193,2025-07-02T13:56:31.749325+00:00
582.2757212948278,2025-07-02T13:56:35.746958+00:00
