value,time
702.7839252209379,2025-07-02T13:54:07.666669+00:00
697.6981927524577,2025-07-02T13:54:11.665304+00:00
692.6788642609608,2025-07-02T13:54:15.665939+00:00
688.0635915499719,2025-07-02T13:54:19.664810+00:00
682.7348797442853,2025-07-02T13:54:23.664445+00:00
678.0754663967108,2025-07-02T13:54:27.665081+00:00
673.0224422973456,2025-07-02T13:54:31.665717+00:00
668.4824684104561,2025-07-02T13:54:35.664350+00:00
663.7496051233275,2025-07-02T13:54:39.663985+00:00
658.7463733599601,2025-07-02T13:54:43.665622+00:00
653.3429075635925,2025-07-02T13:54:47.664256+00:00
648.1492681369302,2025-07-02T13:54:51.662889+00:00
643.0760520343491,2025-07-02T13:54:55.662007+00:00
637.7906888259181,2025-07-02T13:54:59.662884+00:00
632.9431102131475,2025-07-02T13:55:03.663519+00:00
628.0385213414347,2025-07-02T13:55:07.662153+00:00
622.9307320782387,2025-07-02T13:55:11.663347+00:00
618.1052009906574,2025-07-02T13:55:15.661982+00:00
613.0819493873686,2025-07-02T13:55:19.663854+00:00
607.9934841165596,2025-07-02T13:55:23.661728+00:00
603.12169937301,2025-07-02T13:55:27.662363+00:00
598.2731651150775,2025-07-02T13:55:31.660997+00:00
593.354987892761,2025-07-02T13:55:35.661634+00:00
587.9680431417,2025-07-02T13:55:39.661268+00:00
583.2521969197919,2025-07-02T13:55:43.660902+00:00
578.116742927672,2025-07-02T13:55:47.660537+00:00
573.5774487345539,2025-07-02T13:55:51.661173+00:00
568.9872298120239,2025-07-02T13:55:55.661052+00:00
564.3406300999351,2025-07-02T13:55:59.660687+00:00
559.6150207904849,2025-07-02T13:56:03.658797+00:00
554.3410434187156,2025-07-02T13:56:07.658432+00:00
549.0689580316916,2025-07-02T13:56:11.659068+00:00
544.7919542652933,2025-07-02T13:56:15.659703+00:00
539.696938753124,2025-07-02T13:56:19.658337+00:00
534.5221567754526,2025-07-02T13:56:23.658973+00:00
529.4551430079531,2025-07-02T13:56:27.658607+00:00
524.6056566566385,2025-07-02T13:56:31.658242+00:00
519.7413068894222,2025-07-02T13:56:35.656876+00:00
514.5867180037926,2025-07-02T13:56:39.658513+00:00
509.3966485406049,2025-07-02T13:56:43.658147+00:00
504.4380466331938,2025-07-02T13:56:47.656783+00:00
499.49671278749827,2025-07-02T13:56:51.657417+00:00
495.1051694021871,2025-07-02T13:56:55.657052+00:00
490.4942550296367,2025-07-02T13:56:59.656687+00:00
485.70605373203307,2025-07-02T13:57:03.656321+00:00
480.84923851943216,2025-07-02T13:57:07.657957+00:00
475.9695572056965,2025-07-02T13:57:11.656591+00:00
471.4045783782204,2025-07-02T13:57:15.655226+00:00
466.5473488923838,2025-07-02T13:57:19.656862+00:00
461.43013888708407,2025-07-02T13:57:23.656497+00:00
456.3063359596755,2025-07-02T13:57:27.655131+00:00
451.30483589426075,2025-07-02T13:57:31.655394+00:00
445.67645103209725,2025-07-02T13:57:35.656030+00:00
440.67575529091,2025-07-02T13:57:39.654663+00:00
436.1760501312071,2025-07-02T13:57:43.668311+00:00
431.22611621070274,2025-07-02T13:57:47.653933+00:00
426.46972418853045,2025-07-02T13:57:51.654568+00:00
421.46706477569876,2025-07-02T13:57:55.654203+00:00
416.37811454011575,2025-07-02T13:57:59.652837+00:00
411.712354543495,2025-07-02T13:58:03.653473+00:00
406.7821022239036,2025-07-02T13:58:07.653338+00:00
401.9995522333156,2025-07-02T13:58:11.652972+00:00
397.1968877480226,2025-07-02T13:58:15.698649+00:00
391.91484184291653,2025-07-02T13:58:19.651492+00:00
386.7327474510563,2025-07-02T13:58:23.653412+00:00
381.98955158845206,2025-07-02T13:58:27.652621+00:00
377.2574924174564,2025-07-02T13:58:31.651495+00:00
372.7408352680924,2025-07-02T13:58:35.650130+00:00
367.9584436459592,2025-07-02T13:58:39.650994+00:00
363.15571838257364,2025-07-02T13:58:43.652873+00:00
358.70023314407223,2025-07-02T13:58:47.650839+00:00
354.2394498075593,2025-07-02T13:58:51.651475+00:00
349.58625864577823,2025-07-02T13:58:55.652349+00:00
345.06036853464536,2025-07-02T13:58:59.651274+00:00
340.59378433920796,2025-07-02T13:59:03.651499+00:00
335.9845501824542,2025-07-02T13:59:07.649132+00:00
330.7374887788866,2025-07-02T13:59:11.649769+00:00
325.9200672600107,2025-07-02T13:59:15.650404+00:00
320.40098623532486,2025-07-02T13:59:19.649414+00:00
315.41881004890325,2025-07-02T13:59:23.651051+00:00
310.72431283695056,2025-07-02T13:59:27.691722+00:00
306.2652307445855,2025-07-02T13:59:31.649319+00:00
300.8787730894049,2025-07-02T13:59:35.648954+00:00
295.94686902548256,2025-07-02T13:59:39.648589+00:00
291.09328956647255,2025-07-02T13:59:43.648223+00:00
286.19601237852163,2025-07-02T13:59:47.648144+00:00
281.76309621434586,2025-07-02T13:59:51.648379+00:00
276.96815513919574,2025-07-02T13:59:55.647492+00:00
271.9218378395753,2025-07-02T13:59:59.647127+00:00
267.4405434569953,2025-07-02T14:00:03.647763+00:00
262.7769286541192,2025-07-02T14:00:07.647398+00:00
257.6081459573803,2025-07-02T14:00:11.647036+00:00
252.65526592214368,2025-07-02T14:00:15.646915+00:00
247.78987330104488,2025-07-02T14:00:19.647551+00:00
243.03788785867803,2025-07-02T14:00:23.646184+00:00
