value,time
124.91222556871409,2025-07-02T13:54:07.667671+00:00
127.9568874181359,2025-07-02T13:54:11.667306+00:00
129.00708994213306,2025-07-02T13:54:15.667941+00:00
127.44310120193158,2025-07-02T13:54:19.666812+00:00
130.21661320672462,2025-07-02T13:54:23.667448+00:00
122.3323122413147,2025-07-02T13:54:27.667083+00:00
129.85504548112692,2025-07-02T13:54:31.667718+00:00
123.1176703633874,2025-07-02T13:54:35.667353+00:00
119.44001892648852,2025-07-02T13:54:39.666988+00:00
125.41476245352199,2025-07-02T13:54:43.668625+00:00
133.43534577837576,2025-07-02T13:54:47.667258+00:00
129.08305266377462,2025-07-02T13:54:51.665892+00:00
122.92796239061542,2025-07-02T13:54:55.666011+00:00
119.02594890966719,2025-07-02T13:54:59.666887+00:00
122.20960497930045,2025-07-02T13:55:03.666522+00:00
123.90051162737699,2025-07-02T13:55:07.666157+00:00
128.32471967223026,2025-07-02T13:55:11.667352+00:00
127.83746005634646,2025-07-02T13:55:15.666986+00:00
131.98471717593938,2025-07-02T13:55:19.667857+00:00
134.24188240309817,2025-07-02T13:55:23.664731+00:00
128.73508201016898,2025-07-02T13:55:27.667368+00:00
127.68106871725256,2025-07-02T13:55:31.666002+00:00
129.80359512848617,2025-07-02T13:55:35.666638+00:00
136.8963691197623,2025-07-02T13:55:39.666272+00:00
126.78115325063176,2025-07-02T13:55:43.665907+00:00
137.74877464769366,2025-07-02T13:55:47.665542+00:00
124.43787085948416,2025-07-02T13:55:51.666178+00:00
124.7209498498126,2025-07-02T13:55:55.667058+00:00
129.42486299301333,2025-07-02T13:55:59.666693+00:00
118.2507791897576,2025-07-02T13:56:03.664803+00:00
133.56976653256567,2025-07-02T13:56:07.665439+00:00
134.23639367188886,2025-07-02T13:56:11.666074+00:00
125.58339996565758,2025-07-02T13:56:15.666710+00:00
129.30081762588074,2025-07-02T13:56:19.665343+00:00
127.61805145655585,2025-07-02T13:56:23.665979+00:00
131.70785288751176,2025-07-02T13:56:27.665613+00:00
129.72597344191982,2025-07-02T13:56:31.666250+00:00
130.02075184702971,2025-07-02T13:56:35.663883+00:00
131.9601597073207,2025-07-02T13:56:39.667521+00:00
129.27091323815804,2025-07-02T13:56:43.666154+00:00
126.25852334344218,2025-07-02T13:56:47.664789+00:00
127.50625894807823,2025-07-02T13:56:51.666426+00:00
122.18863553083031,2025-07-02T13:56:55.666060+00:00
129.12884487634705,2025-07-02T13:56:59.665695+00:00
126.32088718837771,2025-07-02T13:57:03.666330+00:00
127.30494862670983,2025-07-02T13:57:07.667967+00:00
130.75211485708004,2025-07-02T13:57:11.665600+00:00
128.70375792817626,2025-07-02T13:57:15.665235+00:00
127.12644951918688,2025-07-02T13:57:19.666871+00:00
131.50685534125407,2025-07-02T13:57:23.666506+00:00
131.99679642933341,2025-07-02T13:57:27.664139+00:00
130.92034569114935,2025-07-02T13:57:31.665403+00:00
133.95432603486057,2025-07-02T13:57:35.666039+00:00
126.582258240726,2025-07-02T13:57:39.665673+00:00
116.32581519361455,2025-07-02T13:57:43.678320+00:00
126.23092954573828,2025-07-02T13:57:47.666944+00:00
129.46253859434276,2025-07-02T13:57:51.666580+00:00
130.3725928912917,2025-07-02T13:57:55.666214+00:00
128.52174361075006,2025-07-02T13:57:59.664849+00:00
129.4209042232154,2025-07-02T13:58:03.665484+00:00
128.05105160354418,2025-07-02T13:58:07.666350+00:00
128.99180564089698,2025-07-02T13:58:11.663983+00:00
127.90786094392193,2025-07-02T13:58:15.711661+00:00
129.51254685797252,2025-07-02T13:58:19.663504+00:00
137.78051716298518,2025-07-02T13:58:23.665424+00:00
131.6401519345457,2025-07-02T13:58:27.665633+00:00
127.45420075838821,2025-07-02T13:58:31.665509+00:00
123.24401219728159,2025-07-02T13:58:35.663142+00:00
130.92030751161047,2025-07-02T13:58:39.664006+00:00
125.86754743153676,2025-07-02T13:58:43.665884+00:00
129.0813147421657,2025-07-02T13:58:47.664852+00:00
131.12318286917915,2025-07-02T13:58:51.664487+00:00
130.83163583335497,2025-07-02T13:58:55.665362+00:00
127.89585266502213,2025-07-02T13:58:59.665287+00:00
129.37415099161925,2025-07-02T13:59:03.665512+00:00
130.59542929816834,2025-07-02T13:59:07.663146+00:00
135.4049220901824,2025-07-02T13:59:11.664781+00:00
125.3886452720879,2025-07-02T13:59:15.665417+00:00
134.4354087584935,2025-07-02T13:59:19.664427+00:00
133.24568044283689,2025-07-02T13:59:23.666064+00:00
129.16693399523945,2025-07-02T13:59:27.705736+00:00
122.47346201332829,2025-07-02T13:59:31.665333+00:00
133.057838818936,2025-07-02T13:59:35.663967+00:00
125.91719710092784,2025-07-02T13:59:39.664603+00:00
122.32233550719772,2025-07-02T13:59:43.664238+00:00
121.5791823693766,2025-07-02T13:59:47.663158+00:00
122.71531082810829,2025-07-02T13:59:51.664394+00:00
124.80783244787696,2025-07-02T13:59:55.662506+00:00
136.1531079227838,2025-07-02T13:59:59.664142+00:00
129.03978538657603,2025-07-02T14:00:03.663777+00:00
126.89602585359484,2025-07-02T14:00:07.664412+00:00
130.47520583385332,2025-07-02T14:00:11.663050+00:00
133.43729949346465,2025-07-02T14:00:15.663930+00:00
129.80391192381163,2025-07-02T14:00:19.664565+00:00
127.89910691198196,2025-07-02T14:00:23.664200+00:00
124.60758719424418,2025-07-02T14:00:27.663066+00:00
130.6108309851657,2025-07-02T14:00:31.664702+00:00
132.03379209382513,2025-07-02T14:00:35.664569+00:00
123.06208748857377,2025-07-02T14:00:39.662203+00:00
127.87031634177973,2025-07-02T14:00:43.662838+00:00
129.0995163792623,2025-07-02T14:00:47.663680+00:00
134.39264092795858,2025-07-02T14:00:51.664316+00:00
122.08966948385854,2025-07-02T14:00:55.664080+00:00
127.51918231430022,2025-07-02T14:00:59.662714+00:00
131.83690588353682,2025-07-02T14:01:03.664616+00:00
135.31098339635454,2025-07-02T14:01:07.664251+00:00
125.7267829755509,2025-07-02T14:01:11.664887+00:00
129.08316486768908,2025-07-02T14:01:15.664521+00:00
132.31540300811372,2025-07-02T14:01:19.664156+00:00
133.06618010503072,2025-07-02T14:01:23.664075+00:00
130.11744507790112,2025-07-02T14:01:27.663710+00:00
130.41438843568363,2025-07-02T14:01:31.663577+00:00
132.1857212497115,2025-07-02T14:01:35.663212+00:00
131.42580768775167,2025-07-02T14:01:39.661846+00:00
117.6488740188648,2025-07-02T14:01:43.663483+00:00
131.5093315458908,2025-07-02T14:01:47.663118+00:00
124.81658957025593,2025-07-02T14:01:51.661987+00:00
135.0428194588802,2025-07-02T14:01:55.662623+00:00
127.37696529866732,2025-07-02T14:01:59.662257+00:00
128.30457867437215,2025-07-02T14:02:03.665896+00:00
127.4623814727371,2025-07-02T14:02:07.667532+00:00
130.633678827932,2025-07-02T14:02:11.663164+00:00
127.14376346224957,2025-07-02T14:02:15.663042+00:00
126.44385820245817,2025-07-02T14:02:19.661918+00:00
123.00800426223,2025-07-02T14:02:23.663764+00:00
125.90340513153184,2025-07-02T14:02:27.662397+00:00
122.25524249917004,2025-07-02T14:02:31.665239+00:00
127.99222239916314,2025-07-02T14:02:35.661872+00:00
127.39757844828857,2025-07-02T14:02:39.663508+00:00
124.76394078314276,2025-07-02T14:02:43.665415+00:00
124.3774787306212,2025-07-02T14:02:47.665049+00:00
126.4962646038625,2025-07-02T14:02:51.664685+00:00
123.83924313372773,2025-07-02T14:02:55.667322+00:00
126.64635198916552,2025-07-02T14:02:59.664956+00:00
131.1184270441328,2025-07-02T14:03:03.662589+00:00
133.4290847314251,2025-07-02T14:03:07.661223+00:00
133.65399015106289,2025-07-02T14:03:11.664861+00:00
123.96156753215429,2025-07-02T14:03:15.664496+00:00
129.5584177600337,2025-07-02T14:03:19.664131+00:00
134.29577723012113,2025-07-02T14:03:23.665768+00:00
129.42805890720118,2025-07-02T14:03:27.666404+00:00
124.97132274686602,2025-07-02T14:03:31.664037+00:00
134.55514969256683,2025-07-02T14:03:35.664672+00:00
132.50399312936182,2025-07-02T14:03:39.666310+00:00
7.233842512948804,2025-07-02T14:03:43.662942+00:00
8.448658992567687,2025-07-02T14:03:47.663577+00:00
11.086579328042696,2025-07-02T14:03:51.662450+00:00
13.011277989649372,2025-07-02T14:03:55.662410+00:00
131.2509051694073,2025-07-02T14:03:59.662045+00:00
125.41729736041829,2025-07-02T14:04:03.662680+00:00
129.30010476301297,2025-07-02T14:04:07.664675+00:00
124.53367656583714,2025-07-02T14:04:11.661307+00:00
125.36815696110342,2025-07-02T14:04:15.661942+00:00
128.60339652031936,2025-07-02T14:04:19.661577+00:00
136.27348184797924,2025-07-02T14:04:23.662213+00:00
133.58529314940463,2025-07-02T14:04:27.662848+00:00
120.83257736345257,2025-07-02T14:04:31.662842+00:00
121.96675688656534,2025-07-02T14:04:35.663711+00:00
133.98040205110325,2025-07-02T14:04:39.661344+00:00
125.66727035185968,2025-07-02T14:04:43.659977+00:00
127.21615345725502,2025-07-02T14:04:47.662615+00:00
