value,time
0,2025-07-02T13:54:05.693330+00:00
0,2025-07-02T13:54:09.694513+00:00
0,2025-07-02T13:54:13.690144+00:00
0,2025-07-02T13:54:17.690015+00:00
1,2025-07-02T13:54:21.691652+00:00
1,2025-07-02T13:54:25.691287+00:00
0,2025-07-02T13:54:29.690922+00:00
0,2025-07-02T13:54:33.691557+00:00
0,2025-07-02T13:54:37.692193+00:00
0,2025-07-02T13:54:41.690827+00:00
0,2025-07-02T13:54:45.692465+00:00
0,2025-07-02T13:54:49.692098+00:00
0,2025-07-02T13:54:53.689731+00:00
0,2025-07-02T13:54:57.689850+00:00
0,2025-07-02T13:55:01.695731+00:00
0,2025-07-02T13:55:05.690361+00:00
0,2025-07-02T13:55:09.691232+00:00
1,2025-07-02T13:55:13.692192+00:00
0,2025-07-02T13:55:17.693062+00:00
1,2025-07-02T13:55:21.690937+00:00
0,2025-07-02T13:55:25.690572+00:00
0,2025-07-02T13:55:29.691207+00:00
0,2025-07-02T13:55:33.696847+00:00
0,2025-07-02T13:55:37.691478+00:00
1,2025-07-02T13:55:41.690111+00:00
0,2025-07-02T13:55:45.690747+00:00
0,2025-07-02T13:55:49.694385+00:00
0,2025-07-02T13:55:53.694266+00:00
1,2025-07-02T13:55:57.693900+00:00
0,2025-07-02T13:56:01.691533+00:00
1,2025-07-02T13:56:05.689643+00:00
0,2025-07-02T13:56:09.689278+00:00
1,2025-07-02T13:56:13.689913+00:00
0,2025-07-02T13:56:17.689548+00:00
0,2025-07-02T13:56:21.690184+00:00
0,2025-07-02T13:56:25.689818+00:00
0,2025-07-02T13:56:29.689453+00:00
0,2025-07-02T13:56:33.690089+00:00
0,2025-07-02T13:56:37.689724+00:00
1,2025-07-02T13:56:41.689359+00:00
0,2025-07-02T13:56:45.688993+00:00
0,2025-07-02T13:56:49.687627+00:00
0,2025-07-02T13:56:53.690265+00:00
0,2025-07-02T13:56:57.689900+00:00
0,2025-07-02T13:57:01.688533+00:00
0,2025-07-02T13:57:05.689169+00:00
0,2025-07-02T13:57:09.688803+00:00
0,2025-07-02T13:57:13.689439+00:00
0,2025-07-02T13:57:17.690075+00:00
0,2025-07-02T13:57:21.689709+00:00
0,2025-07-02T13:57:25.688344+00:00
0,2025-07-02T13:57:29.690981+00:00
0,2025-07-02T13:57:33.689242+00:00
0,2025-07-02T13:57:37.685874+00:00
1,2025-07-02T13:57:41.690514+00:00
0,2025-07-02T13:57:45.691149+00:00
0,2025-07-02T13:57:49.688782+00:00
0,2025-07-02T13:57:53.689418+00:00
0,2025-07-02T13:57:57.690053+00:00
0,2025-07-02T13:58:01.690690+00:00
1,2025-07-02T13:58:05.690323+00:00
0,2025-07-02T13:58:09.689188+00:00
0,2025-07-02T13:58:13.686820+00:00
0,2025-07-02T13:58:17.688457+00:00
0,2025-07-02T13:58:21.688627+00:00
0,2025-07-02T13:58:25.689838+00:00
0,2025-07-02T13:58:29.687711+00:00
0,2025-07-02T13:58:33.687346+00:00
0,2025-07-02T13:58:37.687210+00:00
0,2025-07-02T13:58:41.687845+00:00
0,2025-07-02T13:58:45.729760+00:00
0,2025-07-02T13:58:49.687690+00:00
0,2025-07-02T13:58:53.687325+00:00
0,2025-07-02T13:58:57.688199+00:00
0,2025-07-02T13:59:01.688347+00:00
0,2025-07-02T13:59:05.687350+00:00
0,2025-07-02T13:59:09.686984+00:00
0,2025-07-02T13:59:13.688621+00:00
0,2025-07-02T13:59:17.687254+00:00
0,2025-07-02T13:59:21.688266+00:00
1,2025-07-02T13:59:25.688902+00:00
0,2025-07-02T13:59:29.686535+00:00
0,2025-07-02T13:59:33.688172+00:00
0,2025-07-02T13:59:37.687806+00:00
0,2025-07-02T13:59:41.686440+00:00
0,2025-07-02T13:59:45.687076+00:00
0,2025-07-02T13:59:49.686224+00:00
1,2025-07-02T13:59:53.687476+00:00
0,2025-07-02T13:59:57.688347+00:00
0,2025-07-02T14:00:01.688983+00:00
0,2025-07-02T14:00:05.687616+00:00
0,2025-07-02T14:00:09.686250+00:00
1,2025-07-02T14:00:13.688135+00:00
0,2025-07-02T14:00:17.689772+00:00
0,2025-07-02T14:00:21.686403+00:00
0,2025-07-02T14:00:25.686269+00:00
0,2025-07-02T14:00:29.687906+00:00
0,2025-07-02T14:00:33.688774+00:00
0,2025-07-02T14:00:37.687408+00:00
0,2025-07-02T14:00:41.686041+00:00
0,2025-07-02T14:00:45.685676+00:00
0,2025-07-02T14:00:49.686519+00:00
0,2025-07-02T14:00:53.687155+00:00
0,2025-07-02T14:00:57.687920+00:00
0,2025-07-02T14:01:01.685818+00:00
0,2025-07-02T14:01:05.687455+00:00
0,2025-07-02T14:01:09.701102+00:00
0,2025-07-02T14:01:13.685723+00:00
0,2025-07-02T14:01:17.687360+00:00
0,2025-07-02T14:01:21.688280+00:00
0,2025-07-02T14:01:25.688916+00:00
0,2025-07-02T14:01:29.687549+00:00
0,2025-07-02T14:01:33.688418+00:00
0,2025-07-02T14:01:37.687052+00:00
0,2025-07-02T14:01:41.687687+00:00
1,2025-07-02T14:01:45.686321+00:00
0,2025-07-02T14:01:49.688959+00:00
0,2025-07-02T14:01:53.686827+00:00
0,2025-07-02T14:01:57.687463+00:00
0,2025-07-02T14:02:01.689099+00:00
0,2025-07-02T14:02:05.687733+00:00
0,2025-07-02T14:02:09.687368+00:00
0,2025-07-02T14:02:13.752062+00:00
0,2025-07-02T14:02:17.688883+00:00
0,2025-07-02T14:02:21.687968+00:00
0,2025-07-02T14:02:25.686602+00:00
0,2025-07-02T14:02:29.691445+00:00
0,2025-07-02T14:02:33.691080+00:00
0,2025-07-02T14:02:37.691716+00:00
0,2025-07-02T14:02:41.691621+00:00
0,2025-07-02T14:02:45.691256+00:00
1,2025-07-02T14:02:49.691892+00:00
0,2025-07-02T14:02:53.693529+00:00
0,2025-07-02T14:02:57.693164+00:00
1,2025-07-02T14:03:01.749850+00:00
0,2025-07-02T14:03:05.692434+00:00
0,2025-07-02T14:03:09.690066+00:00
0,2025-07-02T14:03:13.696708+00:00
0,2025-07-02T14:03:17.694341+00:00
0,2025-07-02T14:03:21.690972+00:00
0,2025-07-02T14:03:25.697615+00:00
0,2025-07-02T14:03:29.696248+00:00
0,2025-07-02T14:03:33.694883+00:00
0,2025-07-02T14:03:37.699522+00:00
0,2025-07-02T14:03:41.692151+00:00
0,2025-07-02T14:03:45.690784+00:00
1,2025-07-02T14:03:49.693661+00:00
1,2025-07-02T14:03:53.695298+00:00
0,2025-07-02T14:03:57.691253+00:00
0,2025-07-02T14:04:01.690888+00:00
0,2025-07-02T14:04:05.691524+00:00
0,2025-07-02T14:04:09.693518+00:00
0,2025-07-02T14:04:13.692151+00:00
0,2025-07-02T14:04:17.709804+00:00
0,2025-07-02T14:04:21.693424+00:00
0,2025-07-02T14:04:25.695059+00:00
1,2025-07-02T14:04:29.693052+00:00
1,2025-07-02T14:04:33.862841+00:00
0,2025-07-02T14:04:37.691554+00:00
0,2025-07-02T14:04:41.692189+00:00
0,2025-07-02T14:04:45.692824+00:00
0,2025-07-02T14:04:49.692459+00:00
0,2025-07-02T14:04:53.694096+00:00
0,2025-07-02T14:04:57.691729+00:00
0,2025-07-02T14:05:01.692570+00:00
0,2025-07-02T14:05:05.693681+00:00
0,2025-07-02T14:05:09.696562+00:00
0,2025-07-02T14:05:13.692431+00:00
0,2025-07-02T14:05:17.691249+00:00
0,2025-07-02T14:05:21.691885+00:00
0,2025-07-02T14:05:25.694522+00:00
0,2025-07-02T14:05:29.694156+00:00
0,2025-07-02T14:05:33.694792+00:00
0,2025-07-02T14:05:37.698431+00:00
0,2025-07-02T14:05:41.696065+00:00
0,2025-07-02T14:05:45.699703+00:00
0,2025-07-02T14:05:49.696335+00:00
0,2025-07-02T14:05:53.736006+00:00
0,2025-07-02T14:05:57.695605+00:00
0,2025-07-02T14:06:01.697241+00:00
0,2025-07-02T14:06:05.698877+00:00
0,2025-07-02T14:06:09.697511+00:00
0,2025-07-02T14:06:13.699148+00:00
0,2025-07-02T14:06:17.706790+00:00
0,2025-07-02T14:06:21.693413+00:00
0,2025-07-02T14:06:25.696275+00:00
0,2025-07-02T14:06:29.696911+00:00
0,2025-07-02T14:06:33.699549+00:00
0,2025-07-02T14:06:37.699182+00:00
1,2025-07-02T14:06:41.697817+00:00
0,2025-07-02T14:06:45.697451+00:00
0,2025-07-02T14:06:49.694084+00:00
0,2025-07-02T14:06:53.698723+00:00
0,2025-07-02T14:06:57.698358+00:00
0,2025-07-02T14:07:01.696992+00:00
0,2025-07-02T14:07:05.713642+00:00
0,2025-07-02T14:07:09.697262+00:00
0,2025-07-02T14:07:13.697275+00:00
0,2025-07-02T14:07:17.697910+00:00
0,2025-07-02T14:07:21.697545+00:00
0,2025-07-02T14:07:25.698181+00:00
0,2025-07-02T14:07:29.703820+00:00
0,2025-07-02T14:07:33.697451+00:00
1,2025-07-02T14:07:37.699087+00:00
0,2025-07-02T14:07:41.696720+00:00
0,2025-07-02T14:07:45.696355+00:00
1,2025-07-02T14:07:49.699994+00:00
0,2025-07-02T14:07:53.697626+00:00
0,2025-07-02T14:07:57.697490+00:00
0,2025-07-02T14:08:01.698126+00:00
0,2025-07-02T14:08:05.700763+00:00
0,2025-07-02T14:08:09.698396+00:00
0,2025-07-02T14:08:13.698031+00:00
0,2025-07-02T14:08:17.698666+00:00
1,2025-07-02T14:08:21.698301+00:00
0,2025-07-02T14:08:25.701939+00:00
0,2025-07-02T14:08:29.704577+00:00
0,2025-07-02T14:08:33.705212+00:00
0,2025-07-02T14:08:37.703847+00:00
0,2025-07-02T14:08:41.704482+00:00
0,2025-07-02T14:08:45.702115+00:00
0,2025-07-02T14:08:49.700749+00:00
0,2025-07-02T14:08:53.700383+00:00
0,2025-07-02T14:08:57.704022+00:00
0,2025-07-02T14:09:01.712665+00:00
0,2025-07-02T14:09:05.701804+00:00
0,2025-07-02T14:09:09.698436+00:00
0,2025-07-02T14:09:13.701073+00:00
0,2025-07-02T14:09:17.701708+00:00
0,2025-07-02T14:09:21.701580+00:00
0,2025-07-02T14:09:25.704218+00:00
0,2025-07-02T14:09:29.704854+00:00
0,2025-07-02T14:09:33.704719+00:00
0,2025-07-02T14:09:37.704739+00:00
0,2025-07-02T14:09:41.706375+00:00
0,2025-07-02T14:09:45.702241+00:00
0,2025-07-02T14:09:49.701110+00:00
0,2025-07-02T14:09:53.703747+00:00
0,2025-07-02T14:09:57.700379+00:00
0,2025-07-02T14:10:01.701015+00:00
0,2025-07-02T14:10:05.707656+00:00
0,2025-07-02T14:10:09.703854+00:00
0,2025-07-02T14:10:13.700486+00:00
0,2025-07-02T14:10:17.703124+00:00
0,2025-07-02T14:10:21.704760+00:00
1,2025-07-02T14:10:25.702394+00:00
1,2025-07-02T14:10:29.702895+00:00
0,2025-07-02T14:10:33.704040+00:00
0,2025-07-02T14:10:37.708679+00:00
0,2025-07-02T14:10:41.703310+00:00
0,2025-07-02T14:10:45.705947+00:00
0,2025-07-02T14:10:49.702578+00:00
0,2025-07-02T14:10:53.701213+00:00
1,2025-07-02T14:10:57.703850+00:00
0,2025-07-02T14:11:01.700482+00:00
0,2025-07-02T14:11:05.721136+00:00
0,2025-07-02T14:11:09.704757+00:00
0,2025-07-02T14:11:13.702622+00:00
0,2025-07-02T14:11:17.704501+00:00
0,2025-07-02T14:11:21.700132+00:00
0,2025-07-02T14:11:25.703771+00:00
0,2025-07-02T14:11:29.704885+00:00
