value,time
330.5,2025-07-02T02:20:01.701004+00:00
317.0,2025-07-02T02:20:05.901461+00:00
345.2,2025-07-02T02:20:10.908858+00:00
328.9,2025-07-02T02:20:15.913485+00:00
341.8,2025-07-02T02:20:20.916290+00:00
334.8,2025-07-02T02:20:25.914669+00:00
346.4,2025-07-02T02:20:30.918878+00:00
346.4,2025-07-02T02:20:35.906581+00:00
327.6,2025-07-02T02:20:40.917993+00:00
347.0,2025-07-02T02:20:45.908808+00:00
334.7,2025-07-02T02:20:50.907303+00:00
346.3,2025-07-02T02:20:55.915124+00:00
309.6,2025-07-02T02:21:00.921982+00:00
303.7,2025-07-02T02:21:05.922668+00:00
314.6,2025-07-02T02:21:10.933999+00:00
332.5,2025-07-02T02:21:15.916241+00:00
334.3,2025-07-02T02:21:20.932497+00:00
345.9,2025-07-02T02:21:25.926048+00:00
301.3,2025-07-02T02:21:30.935074+00:00
310.8,2025-07-02T02:21:35.936073+00:00
322.6,2025-07-02T02:21:40.934228+00:00
336.4,2025-07-02T02:21:45.930769+00:00
311.4,2025-07-02T02:21:50.926046+00:00
348.4,2025-07-02T02:21:55.929365+00:00
307.6,2025-07-02T02:22:00.931858+00:00
336.2,2025-07-02T02:22:05.937904+00:00
336.6,2025-07-02T02:22:10.948977+00:00
319.7,2025-07-02T02:22:15.942514+00:00
340.0,2025-07-02T02:22:20.934836+00:00
337.8,2025-07-02T02:22:25.941821+00:00
335.0,2025-07-02T02:22:30.943057+00:00
322.3,2025-07-02T02:22:35.949263+00:00
335.7,2025-07-02T02:22:40.939220+00:00
337.7,2025-07-02T02:22:45.951697+00:00
309.5,2025-07-02T02:22:50.949309+00:00
304.3,2025-07-02T02:22:55.958340+00:00
322.5,2025-07-02T02:23:00.957405+00:00
344.9,2025-07-02T02:23:05.965658+00:00
312.3,2025-07-02T02:23:10.949875+00:00
333.4,2025-07-02T02:23:15.968287+00:00
341.4,2025-07-02T02:23:20.953720+00:00
339.3,2025-07-02T02:23:25.957906+00:00
306.6,2025-07-02T02:23:30.964567+00:00
327.6,2025-07-02T02:23:35.968448+00:00
343.0,2025-07-02T02:23:40.960712+00:00
315.8,2025-07-02T02:23:45.966102+00:00
302.1,2025-07-02T02:23:50.968151+00:00
306.9,2025-07-02T02:23:55.978112+00:00
308.1,2025-07-02T02:24:00.968683+00:00
343.2,2025-07-02T02:24:05.967721+00:00
324.3,2025-07-02T02:24:10.976764+00:00
302.0,2025-07-02T02:24:15.973904+00:00
307.1,2025-07-02T02:24:20.985365+00:00
348.5,2025-07-02T02:24:25.985049+00:00
308.8,2025-07-02T02:24:30.977139+00:00
320.7,2025-07-02T02:24:35.980073+00:00
332.9,2025-07-02T02:24:40.989413+00:00
346.0,2025-07-02T02:24:45.993482+00:00
337.1,2025-07-02T02:24:50.985740+00:00
326.2,2025-07-02T02:24:55.990149+00:00
348.5,2025-07-02T02:25:00.986562+00:00
330.8,2025-07-02T02:25:05.994862+00:00
336.3,2025-07-02T02:25:10.997145+00:00
337.2,2025-07-02T02:25:15.999648+00:00
324.5,2025-07-02T02:25:20.990004+00:00
311.5,2025-07-02T02:25:25.993559+00:00
328.4,2025-07-02T02:25:31.003189+00:00
340.6,2025-07-02T02:25:35.998670+00:00
330.5,2025-07-02T02:25:40.998792+00:00
306.2,2025-07-02T02:25:45.997348+00:00
349.7,2025-07-02T02:25:50.997163+00:00
343.3,2025-07-02T02:25:56.004357+00:00
322.9,2025-07-02T02:26:01.004637+00:00
331.7,2025-07-02T02:26:06.014513+00:00
