value,time
320.2,2025-07-02T02:20:01.700003+00:00
336.0,2025-07-02T02:20:05.900460+00:00
336.5,2025-07-02T02:20:10.907857+00:00
303.4,2025-07-02T02:20:15.912484+00:00
326.3,2025-07-02T02:20:20.915289+00:00
300.4,2025-07-02T02:20:25.913668+00:00
318.2,2025-07-02T02:20:30.917877+00:00
348.8,2025-07-02T02:20:35.905580+00:00
332.0,2025-07-02T02:20:40.916993+00:00
324.4,2025-07-02T02:20:45.907807+00:00
317.4,2025-07-02T02:20:50.906302+00:00
336.6,2025-07-02T02:20:55.914124+00:00
345.7,2025-07-02T02:21:00.920981+00:00
326.0,2025-07-02T02:21:05.921667+00:00
313.2,2025-07-02T02:21:10.932998+00:00
331.4,2025-07-02T02:21:15.915240+00:00
317.4,2025-07-02T02:21:20.931496+00:00
319.1,2025-07-02T02:21:25.925047+00:00
319.2,2025-07-02T02:21:30.934073+00:00
336.7,2025-07-02T02:21:35.935073+00:00
325.0,2025-07-02T02:21:40.933227+00:00
337.6,2025-07-02T02:21:45.929768+00:00
327.7,2025-07-02T02:21:50.925046+00:00
317.0,2025-07-02T02:21:55.927362+00:00
325.3,2025-07-02T02:22:00.930858+00:00
325.3,2025-07-02T02:22:05.936903+00:00
305.2,2025-07-02T02:22:10.947976+00:00
313.4,2025-07-02T02:22:15.941513+00:00
330.3,2025-07-02T02:22:20.933835+00:00
322.3,2025-07-02T02:22:25.940820+00:00
322.8,2025-07-02T02:22:30.941055+00:00
347.7,2025-07-02T02:22:35.947261+00:00
336.2,2025-07-02T02:22:40.938219+00:00
322.4,2025-07-02T02:22:45.950696+00:00
323.1,2025-07-02T02:22:50.948307+00:00
318.4,2025-07-02T02:22:55.957338+00:00
341.9,2025-07-02T02:23:00.955402+00:00
315.9,2025-07-02T02:23:05.964657+00:00
313.3,2025-07-02T02:23:10.948874+00:00
347.9,2025-07-02T02:23:15.967286+00:00
319.8,2025-07-02T02:23:20.951718+00:00
345.1,2025-07-02T02:23:25.956905+00:00
302.9,2025-07-02T02:23:30.963566+00:00
334.7,2025-07-02T02:23:35.966445+00:00
339.0,2025-07-02T02:23:40.958710+00:00
317.4,2025-07-02T02:23:45.965101+00:00
323.8,2025-07-02T02:23:50.966150+00:00
329.4,2025-07-02T02:23:55.976109+00:00
317.0,2025-07-02T02:24:00.966681+00:00
331.8,2025-07-02T02:24:05.966721+00:00
309.6,2025-07-02T02:24:10.974762+00:00
342.4,2025-07-02T02:24:15.971902+00:00
307.4,2025-07-02T02:24:20.983363+00:00
314.9,2025-07-02T02:24:25.984048+00:00
317.8,2025-07-02T02:24:30.975137+00:00
329.0,2025-07-02T02:24:35.978071+00:00
300.3,2025-07-02T02:24:40.987411+00:00
319.6,2025-07-02T02:24:45.991480+00:00
333.8,2025-07-02T02:24:50.983738+00:00
329.3,2025-07-02T02:24:55.989148+00:00
305.8,2025-07-02T02:25:00.985561+00:00
304.7,2025-07-02T02:25:05.992861+00:00
316.1,2025-07-02T02:25:10.995143+00:00
310.5,2025-07-02T02:25:15.997646+00:00
316.5,2025-07-02T02:25:20.988002+00:00
307.6,2025-07-02T02:25:25.992558+00:00
317.7,2025-07-02T02:25:31.001187+00:00
310.1,2025-07-02T02:25:35.996669+00:00
342.1,2025-07-02T02:25:40.996791+00:00
340.8,2025-07-02T02:25:45.995347+00:00
305.0,2025-07-02T02:25:50.996162+00:00
315.5,2025-07-02T02:25:56.002377+00:00
321.5,2025-07-02T02:26:01.002635+00:00
328.6,2025-07-02T02:26:06.012509+00:00
348.2,2025-07-02T02:26:11.008364+00:00
325.8,2025-07-02T02:26:16.022721+00:00
341.7,2025-07-02T02:26:21.017833+00:00
319.6,2025-07-02T02:26:26.010715+00:00
337.2,2025-07-02T02:26:31.009646+00:00
341.5,2025-07-02T02:26:36.014025+00:00
344.1,2025-07-02T02:26:41.021520+00:00
318.5,2025-07-02T02:26:46.012700+00:00
308.2,2025-07-02T02:26:51.020471+00:00
342.9,2025-07-02T02:26:56.016047+00:00
300.1,2025-07-02T02:27:01.031484+00:00
300.1,2025-07-02T02:27:06.025341+00:00
341.4,2025-07-02T02:27:11.035734+00:00
341.1,2025-07-02T02:27:16.033531+00:00
348.7,2025-07-02T02:27:21.030475+00:00
317.6,2025-07-02T02:27:26.039544+00:00
306.3,2025-07-02T02:27:31.032602+00:00
305.0,2025-07-02T02:27:36.029910+00:00
322.8,2025-07-02T02:27:41.038343+00:00
320.6,2025-07-02T02:33:48.294299+00:00
336.1,2025-07-02T02:33:51.149203+00:00
320.7,2025-07-02T02:33:56.159885+00:00
344.7,2025-07-02T02:34:01.153863+00:00
345.6,2025-07-02T02:34:06.148285+00:00
341.5,2025-07-02T02:34:11.165448+00:00
336.5,2025-07-02T02:34:16.161955+00:00
349.1,2025-07-02T02:34:21.167073+00:00
349.3,2025-07-02T02:34:26.153120+00:00
314.5,2025-07-02T02:34:31.165028+00:00
315.7,2025-07-02T02:34:36.166054+00:00
345.2,2025-07-02T03:20:23.574328+00:00
312.1,2025-07-02T03:20:25.766584+00:00
347.5,2025-07-02T03:20:30.774935+00:00
319.5,2025-07-02T03:20:35.776427+00:00
325.4,2025-07-02T03:20:40.783440+00:00
314.8,2025-07-02T03:20:45.769753+00:00
320.6,2025-07-02T03:20:50.773371+00:00
341.4,2025-07-02T03:20:55.773587+00:00
320.9,2025-07-02T03:21:00.784348+00:00
312.9,2025-07-02T03:21:05.782790+00:00
327.6,2025-07-02T03:21:10.776779+00:00
321.0,2025-07-02T03:21:15.780635+00:00
336.4,2025-07-02T03:21:20.789405+00:00
314.6,2025-07-02T03:21:25.789701+00:00
332.4,2025-07-02T03:21:30.790504+00:00
332.0,2025-07-02T03:21:35.781039+00:00
325.3,2025-07-02T03:21:40.793390+00:00
309.6,2025-07-02T03:21:45.787281+00:00
332.9,2025-07-02T03:21:50.792796+00:00
325.0,2025-07-02T03:21:55.795341+00:00
307.9,2025-07-02T03:22:00.802135+00:00
339.8,2025-07-02T03:22:05.801968+00:00
315.9,2025-07-02T03:22:10.796324+00:00
312.1,2025-07-02T03:22:15.807307+00:00
349.7,2025-07-02T03:22:20.810566+00:00
319.6,2025-07-02T03:22:25.799728+00:00
303.2,2025-07-02T03:22:30.800584+00:00
320.2,2025-07-02T03:22:35.806918+00:00
334.2,2025-07-02T03:22:40.803977+00:00
329.3,2025-07-02T03:22:45.814038+00:00
309.7,2025-07-02T03:22:50.815100+00:00
336.9,2025-07-02T03:22:55.815072+00:00
305.5,2025-07-02T03:23:00.819318+00:00
312.4,2025-07-02T03:23:05.818978+00:00
323.1,2025-07-02T03:23:10.812110+00:00
311.1,2025-07-02T03:23:15.817191+00:00
335.6,2025-07-02T03:23:20.817736+00:00
316.1,2025-07-02T03:23:25.826081+00:00
302.9,2025-07-02T03:23:30.823316+00:00
322.9,2025-07-02T03:23:35.828873+00:00
322.3,2025-07-02T03:23:40.824015+00:00
344.1,2025-07-02T03:23:45.820854+00:00
347.7,2025-07-02T03:23:50.821613+00:00
343.0,2025-07-02T03:23:55.818936+00:00
350.0,2025-07-02T03:24:00.841564+00:00
350.0,2025-07-02T03:24:05.823748+00:00
321.5,2025-07-02T03:24:10.854863+00:00
303.4,2025-07-02T03:24:15.845436+00:00
319.8,2025-07-02T03:24:20.832261+00:00
335.3,2025-07-02T03:24:25.835854+00:00
347.2,2025-07-02T03:24:30.846421+00:00
304.1,2025-07-02T03:24:35.843027+00:00
342.4,2025-07-02T03:24:40.841314+00:00
332.6,2025-07-02T03:24:45.846752+00:00
305.0,2025-07-02T03:24:50.844650+00:00
346.7,2025-07-02T03:24:55.849012+00:00
343.6,2025-07-02T03:25:00.843809+00:00
302.2,2025-07-02T03:25:05.849086+00:00
319.5,2025-07-02T03:25:10.854168+00:00
301.1,2025-07-02T03:25:15.860438+00:00
333.6,2025-07-02T03:25:20.853167+00:00
316.3,2025-07-02T03:25:25.858549+00:00
326.7,2025-07-02T03:25:30.852253+00:00
305.5,2025-07-02T03:25:35.867369+00:00
345.8,2025-07-02T03:25:40.865895+00:00
305.1,2025-07-02T03:25:45.866995+00:00
324.5,2025-07-02T03:25:50.857861+00:00
301.7,2025-07-02T03:25:55.859018+00:00
346.8,2025-07-02T03:26:00.868542+00:00
320.0,2025-07-02T03:26:05.863230+00:00
344.5,2025-07-02T03:26:10.872783+00:00
328.4,2025-07-02T03:26:15.866258+00:00
313.3,2025-07-02T03:26:20.884928+00:00
345.9,2025-07-02T03:26:25.872359+00:00
305.4,2025-07-02T03:26:30.873797+00:00
334.2,2025-07-02T03:26:35.870978+00:00
306.4,2025-07-02T03:26:40.876595+00:00
324.2,2025-07-02T03:26:45.877138+00:00
311.3,2025-07-02T03:26:50.883840+00:00
315.7,2025-07-02T03:26:55.883544+00:00
328.7,2025-07-02T03:27:00.887843+00:00
321.4,2025-07-02T03:27:05.882456+00:00
340.0,2025-07-02T03:27:10.898298+00:00
311.2,2025-07-02T03:27:15.896318+00:00
343.4,2025-07-02T03:27:20.892331+00:00
301.7,2025-07-02T03:27:25.894028+00:00
330.0,2025-07-02T03:27:30.890982+00:00
335.0,2025-07-02T03:27:35.904112+00:00
343.7,2025-07-02T03:27:40.897163+00:00
313.2,2025-07-02T03:27:45.902568+00:00
324.2,2025-07-02T03:27:50.910838+00:00
311.3,2025-07-02T03:27:55.900325+00:00
324.5,2025-07-02T03:28:00.904873+00:00
348.4,2025-07-02T03:28:05.912249+00:00
327.9,2025-07-02T03:28:10.917880+00:00
319.2,2025-07-02T03:28:15.913075+00:00
322.6,2025-07-02T03:28:20.914721+00:00
339.2,2025-07-02T03:28:25.919025+00:00
349.2,2025-07-02T03:28:30.923098+00:00
340.5,2025-07-02T03:28:35.916786+00:00
330.1,2025-07-02T03:28:40.911325+00:00
312.4,2025-07-02T03:28:45.929215+00:00
309.9,2025-07-02T03:28:50.924754+00:00
321.6,2025-07-02T03:28:55.972702+00:00
310.7,2025-07-02T03:29:00.931882+00:00
344.9,2025-07-02T03:29:05.921976+00:00
307.8,2025-07-02T03:29:10.920552+00:00
336.2,2025-07-02T03:29:15.935023+00:00
348.4,2025-07-02T03:29:20.937913+00:00
326.7,2025-07-02T03:29:25.933254+00:00
304.9,2025-07-02T03:29:30.928680+00:00
306.8,2025-07-02T03:29:35.942193+00:00
346.0,2025-07-02T03:29:40.939273+00:00
315.1,2025-07-02T03:29:45.937395+00:00
322.2,2025-07-02T03:29:50.939248+00:00
340.3,2025-07-02T03:29:55.934686+00:00
330.5,2025-07-02T03:30:00.938053+00:00
345.4,2025-07-02T03:30:05.942043+00:00
315.2,2025-07-02T03:30:10.946172+00:00
329.1,2025-07-02T03:30:15.948577+00:00
300.1,2025-07-02T03:30:20.949122+00:00
331.2,2025-07-02T03:30:25.948234+00:00
300.6,2025-07-02T03:30:30.945170+00:00
332.1,2025-07-02T03:30:35.952722+00:00
346.3,2025-07-02T03:30:41.042719+00:00
326.9,2025-07-02T03:30:46.049872+00:00
342.9,2025-07-02T03:30:51.053044+00:00
301.2,2025-07-02T03:30:56.053677+00:00
321.9,2025-07-02T03:31:01.106464+00:00
302.1,2025-07-02T03:31:06.057373+00:00
343.3,2025-07-02T03:31:11.065106+00:00
335.9,2025-07-02T03:31:16.063232+00:00
328.3,2025-07-02T03:31:21.067251+00:00
347.5,2025-07-02T03:31:26.069791+00:00
307.8,2025-07-02T03:31:31.067564+00:00
318.0,2025-07-02T03:31:36.074114+00:00
300.3,2025-07-02T03:31:41.069092+00:00
317.3,2025-07-02T03:31:46.062801+00:00
313.8,2025-07-02T03:31:51.073979+00:00
342.7,2025-07-02T03:31:56.068791+00:00
332.7,2025-07-02T03:32:01.073197+00:00
314.0,2025-07-02T03:32:06.080748+00:00
328.4,2025-07-02T03:32:11.084800+00:00
327.9,2025-07-02T03:32:16.084492+00:00
328.9,2025-07-02T03:32:21.091363+00:00
323.1,2025-07-02T03:32:26.082591+00:00
307.2,2025-07-02T03:32:31.091085+00:00
302.1,2025-07-02T03:32:36.082621+00:00
301.2,2025-07-02T03:32:41.086752+00:00
316.7,2025-07-02T03:32:46.103311+00:00
311.9,2025-07-02T03:32:51.104255+00:00
