value,time
325.7,2025-07-02T02:20:01.689995+00:00
343.0,2025-07-02T02:20:05.899460+00:00
309.3,2025-07-02T02:20:10.906856+00:00
331.3,2025-07-02T02:20:15.911483+00:00
310.8,2025-07-02T02:20:20.914287+00:00
327.9,2025-07-02T02:20:25.912667+00:00
342.9,2025-07-02T02:20:30.916876+00:00
339.7,2025-07-02T02:20:35.904580+00:00
342.2,2025-07-02T02:20:40.915992+00:00
310.7,2025-07-02T02:20:45.906806+00:00
325.4,2025-07-02T02:20:50.906302+00:00
335.9,2025-07-02T02:20:55.913123+00:00
300.3,2025-07-02T02:21:00.919980+00:00
301.7,2025-07-02T02:21:05.920666+00:00
327.3,2025-07-02T02:21:10.931997+00:00
311.0,2025-07-02T02:21:15.914239+00:00
324.6,2025-07-02T02:21:20.929494+00:00
320.7,2025-07-02T02:21:25.923045+00:00
319.1,2025-07-02T02:21:30.933072+00:00
330.0,2025-07-02T02:21:35.934072+00:00
341.6,2025-07-02T02:21:40.932226+00:00
316.3,2025-07-02T02:21:45.928767+00:00
306.8,2025-07-02T02:21:50.924045+00:00
326.3,2025-07-02T02:21:55.926361+00:00
305.3,2025-07-02T02:22:00.928855+00:00
324.4,2025-07-02T02:22:05.935902+00:00
343.2,2025-07-02T02:22:10.946974+00:00
341.0,2025-07-02T02:22:15.940512+00:00
341.2,2025-07-02T02:22:20.932834+00:00
348.5,2025-07-02T02:22:25.938819+00:00
334.9,2025-07-02T02:22:30.937051+00:00
300.9,2025-07-02T02:22:35.946260+00:00
339.7,2025-07-02T02:22:40.936217+00:00
347.3,2025-07-02T02:22:45.948695+00:00
333.4,2025-07-02T02:22:50.947306+00:00
307.7,2025-07-02T02:22:55.956338+00:00
302.6,2025-07-02T02:23:00.953401+00:00
307.6,2025-07-02T02:23:05.962656+00:00
313.5,2025-07-02T02:23:10.946872+00:00
303.6,2025-07-02T02:23:15.965284+00:00
325.4,2025-07-02T02:23:20.950718+00:00
341.3,2025-07-02T02:23:25.954903+00:00
334.4,2025-07-02T02:23:30.961564+00:00
332.2,2025-07-02T02:23:35.965444+00:00
301.5,2025-07-02T02:23:40.957709+00:00
325.8,2025-07-02T02:23:45.963099+00:00
349.8,2025-07-02T02:23:50.964148+00:00
303.3,2025-07-02T02:23:55.974108+00:00
319.9,2025-07-02T02:24:00.965681+00:00
318.4,2025-07-02T02:24:05.964718+00:00
344.4,2025-07-02T02:24:10.973762+00:00
334.0,2025-07-02T02:24:15.969900+00:00
320.3,2025-07-02T02:24:20.982363+00:00
335.5,2025-07-02T02:24:25.982046+00:00
349.0,2025-07-02T02:24:30.974136+00:00
348.2,2025-07-02T02:24:35.976069+00:00
312.4,2025-07-02T02:24:40.986411+00:00
316.1,2025-07-02T02:24:45.990479+00:00
309.0,2025-07-02T02:24:50.981736+00:00
333.7,2025-07-02T02:24:55.987146+00:00
310.7,2025-07-02T02:25:00.983559+00:00
322.7,2025-07-02T02:25:05.990859+00:00
342.3,2025-07-02T02:25:10.993142+00:00
335.7,2025-07-02T02:25:15.996645+00:00
343.1,2025-07-02T02:25:20.987002+00:00
327.8,2025-07-02T02:25:25.989555+00:00
333.3,2025-07-02T02:25:31.000187+00:00
320.4,2025-07-02T02:25:35.994667+00:00
346.9,2025-07-02T02:25:40.994789+00:00
349.8,2025-07-02T02:25:45.993344+00:00
312.8,2025-07-02T02:25:50.994160+00:00
349.8,2025-07-02T02:25:56.000376+00:00
304.6,2025-07-02T02:26:00.999633+00:00
310.6,2025-07-02T02:26:06.010508+00:00
302.6,2025-07-02T02:26:11.007363+00:00
344.5,2025-07-02T02:26:16.020719+00:00
330.5,2025-07-02T02:26:21.016831+00:00
304.5,2025-07-02T02:26:26.007715+00:00
348.7,2025-07-02T02:26:31.007644+00:00
303.8,2025-07-02T02:26:36.012023+00:00
339.3,2025-07-02T02:26:41.019518+00:00
333.4,2025-07-02T02:26:46.010699+00:00
339.2,2025-07-02T02:26:51.018469+00:00
306.9,2025-07-02T02:26:56.014044+00:00
328.2,2025-07-02T02:27:01.029482+00:00
331.6,2025-07-02T02:27:06.023340+00:00
341.9,2025-07-02T02:27:11.033732+00:00
330.3,2025-07-02T02:27:16.031529+00:00
330.6,2025-07-02T02:27:21.028473+00:00
306.6,2025-07-02T02:27:26.037542+00:00
334.0,2025-07-02T02:27:31.030601+00:00
314.0,2025-07-02T02:27:36.027907+00:00
348.9,2025-07-02T02:27:41.036341+00:00
335.0,2025-07-02T02:33:48.291296+00:00
325.0,2025-07-02T02:33:51.146200+00:00
308.1,2025-07-02T02:33:56.157883+00:00
302.5,2025-07-02T02:34:01.151862+00:00
337.2,2025-07-02T02:34:06.146284+00:00
306.1,2025-07-02T02:34:11.162445+00:00
332.7,2025-07-02T02:34:16.159953+00:00
341.1,2025-07-02T02:34:21.165072+00:00
329.6,2025-07-02T02:34:26.150117+00:00
321.8,2025-07-02T02:34:31.163027+00:00
344.1,2025-07-02T02:34:36.164052+00:00
335.7,2025-07-02T03:20:23.571325+00:00
320.6,2025-07-02T03:20:25.763581+00:00
341.2,2025-07-02T03:20:30.772934+00:00
336.4,2025-07-02T03:20:35.774425+00:00
332.5,2025-07-02T03:20:40.780438+00:00
320.9,2025-07-02T03:20:45.767752+00:00
302.8,2025-07-02T03:20:50.770368+00:00
302.0,2025-07-02T03:20:55.770584+00:00
341.5,2025-07-02T03:21:00.781345+00:00
330.5,2025-07-02T03:21:05.780788+00:00
304.7,2025-07-02T03:21:10.774777+00:00
309.1,2025-07-02T03:21:15.777632+00:00
316.3,2025-07-02T03:21:20.787403+00:00
327.1,2025-07-02T03:21:25.786698+00:00
319.7,2025-07-02T03:21:30.787501+00:00
323.8,2025-07-02T03:21:35.779037+00:00
337.6,2025-07-02T03:21:40.790387+00:00
319.2,2025-07-02T03:21:45.784279+00:00
348.2,2025-07-02T03:21:50.790794+00:00
311.8,2025-07-02T03:21:55.793341+00:00
347.0,2025-07-02T03:22:00.799133+00:00
348.9,2025-07-02T03:22:05.799966+00:00
308.4,2025-07-02T03:22:10.794322+00:00
336.3,2025-07-02T03:22:15.805305+00:00
320.7,2025-07-02T03:22:20.807563+00:00
331.1,2025-07-02T03:22:25.797726+00:00
307.0,2025-07-02T03:22:30.797582+00:00
311.2,2025-07-02T03:22:35.804916+00:00
303.4,2025-07-02T03:22:40.800974+00:00
320.9,2025-07-02T03:22:45.811035+00:00
341.4,2025-07-02T03:22:50.812097+00:00
330.3,2025-07-02T03:22:55.812069+00:00
337.7,2025-07-02T03:23:00.816315+00:00
346.8,2025-07-02T03:23:05.816977+00:00
320.9,2025-07-02T03:23:10.810108+00:00
319.8,2025-07-02T03:23:15.815190+00:00
335.6,2025-07-02T03:23:20.815734+00:00
312.1,2025-07-02T03:23:25.824078+00:00
323.6,2025-07-02T03:23:30.821314+00:00
313.7,2025-07-02T03:23:35.825871+00:00
311.5,2025-07-02T03:23:40.821013+00:00
300.7,2025-07-02T03:23:45.817851+00:00
348.9,2025-07-02T03:23:50.818610+00:00
332.3,2025-07-02T03:23:55.815933+00:00
311.5,2025-07-02T03:24:00.838561+00:00
341.7,2025-07-02T03:24:05.821747+00:00
312.1,2025-07-02T03:24:10.851859+00:00
317.1,2025-07-02T03:24:15.842434+00:00
302.9,2025-07-02T03:24:20.829258+00:00
326.1,2025-07-02T03:24:25.832851+00:00
309.9,2025-07-02T03:24:30.843417+00:00
307.8,2025-07-02T03:24:35.841025+00:00
333.9,2025-07-02T03:24:40.838311+00:00
308.4,2025-07-02T03:24:45.842748+00:00
339.4,2025-07-02T03:24:50.841647+00:00
327.3,2025-07-02T03:24:55.846009+00:00
314.1,2025-07-02T03:25:00.840806+00:00
329.5,2025-07-02T03:25:05.847084+00:00
349.1,2025-07-02T03:25:10.851166+00:00
325.3,2025-07-02T03:25:15.856434+00:00
316.4,2025-07-02T03:25:20.850164+00:00
345.7,2025-07-02T03:25:25.854545+00:00
342.1,2025-07-02T03:25:30.849251+00:00
344.5,2025-07-02T03:25:35.865368+00:00
342.2,2025-07-02T03:25:40.861891+00:00
317.7,2025-07-02T03:25:45.862991+00:00
334.5,2025-07-02T03:25:50.854858+00:00
324.7,2025-07-02T03:25:55.855015+00:00
336.9,2025-07-02T03:26:00.865539+00:00
330.2,2025-07-02T03:26:05.860227+00:00
313.6,2025-07-02T03:26:10.869781+00:00
310.9,2025-07-02T03:26:15.863256+00:00
309.0,2025-07-02T03:26:20.881926+00:00
314.0,2025-07-02T03:26:25.869357+00:00
322.1,2025-07-02T03:26:30.870794+00:00
346.8,2025-07-02T03:26:35.867975+00:00
319.9,2025-07-02T03:26:40.873593+00:00
315.6,2025-07-02T03:26:45.873134+00:00
307.7,2025-07-02T03:26:50.879836+00:00
300.4,2025-07-02T03:26:55.879541+00:00
334.3,2025-07-02T03:27:00.883839+00:00
325.7,2025-07-02T03:27:05.879454+00:00
340.2,2025-07-02T03:27:10.894294+00:00
329.9,2025-07-02T03:27:15.892314+00:00
324.9,2025-07-02T03:27:20.889328+00:00
325.5,2025-07-02T03:27:25.891025+00:00
340.5,2025-07-02T03:27:30.886978+00:00
312.4,2025-07-02T03:27:35.901109+00:00
334.7,2025-07-02T03:27:40.894160+00:00
349.8,2025-07-02T03:27:45.898564+00:00
320.8,2025-07-02T03:27:50.906835+00:00
334.2,2025-07-02T03:27:55.896321+00:00
342.9,2025-07-02T03:28:00.901870+00:00
307.9,2025-07-02T03:28:05.909246+00:00
332.9,2025-07-02T03:28:10.913876+00:00
325.9,2025-07-02T03:28:15.907070+00:00
346.0,2025-07-02T03:28:20.910717+00:00
331.1,2025-07-02T03:28:25.915021+00:00
