value,time
1049.9,2025-07-02T02:20:01.681987+00:00
1040.7,2025-07-02T02:20:05.902463+00:00
1028.9,2025-07-02T02:20:10.909859+00:00
1001.2,2025-07-02T02:20:15.914486+00:00
1003.2,2025-07-02T02:20:20.917290+00:00
1001.9,2025-07-02T02:20:25.915670+00:00
982.1,2025-07-02T02:20:30.919879+00:00
1015.4,2025-07-02T02:20:35.907582+00:00
998.5,2025-07-02T02:20:40.918995+00:00
981.7,2025-07-02T02:20:45.909809+00:00
998.9,2025-07-02T02:20:50.908304+00:00
1003.8,2025-07-02T02:20:55.916126+00:00
1011.3,2025-07-02T02:21:00.922983+00:00
980.1,2025-07-02T02:21:05.923668+00:00
989.1,2025-07-02T02:21:10.934999+00:00
993.8,2025-07-02T02:21:15.918242+00:00
1045.9,2025-07-02T02:21:20.933498+00:00
1003.9,2025-07-02T02:21:25.927049+00:00
1017.9,2025-07-02T02:21:30.936075+00:00
1033.7,2025-07-02T02:21:35.937075+00:00
1032.8,2025-07-02T02:21:40.935230+00:00
1016.4,2025-07-02T02:21:45.931770+00:00
1011.2,2025-07-02T02:21:50.927047+00:00
985.7,2025-07-02T02:21:55.930365+00:00
1039.7,2025-07-02T02:22:00.932859+00:00
993.0,2025-07-02T02:22:05.938905+00:00
1039.3,2025-07-02T02:22:10.950978+00:00
993.8,2025-07-02T02:22:15.944516+00:00
1045.0,2025-07-02T02:22:20.936838+00:00
989.8,2025-07-02T02:22:25.942823+00:00
1015.3,2025-07-02T02:22:30.946059+00:00
1000.4,2025-07-02T02:22:35.950264+00:00
1032.5,2025-07-02T02:22:40.940220+00:00
1001.5,2025-07-02T02:22:45.952698+00:00
1033.4,2025-07-02T02:22:50.951311+00:00
991.4,2025-07-02T02:22:55.960341+00:00
1028.5,2025-07-02T02:23:00.960407+00:00
1019.4,2025-07-02T02:23:05.966659+00:00
1022.8,2025-07-02T02:23:10.951877+00:00
1034.8,2025-07-02T02:23:15.970289+00:00
1037.6,2025-07-02T02:23:20.954721+00:00
980.5,2025-07-02T02:23:25.959908+00:00
998.2,2025-07-02T02:23:30.966568+00:00
1026.6,2025-07-02T02:23:35.969448+00:00
1014.4,2025-07-02T02:23:40.961712+00:00
1032.7,2025-07-02T02:23:45.968103+00:00
1012.7,2025-07-02T02:23:50.970153+00:00
1012.7,2025-07-02T02:23:55.979112+00:00
991.6,2025-07-02T02:24:00.969684+00:00
989.1,2025-07-02T02:24:05.969723+00:00
983.4,2025-07-02T02:24:10.977765+00:00
988.5,2025-07-02T02:24:15.975906+00:00
999.4,2025-07-02T02:24:20.986366+00:00
1035.4,2025-07-02T02:24:25.987051+00:00
1045.0,2025-07-02T02:24:30.978140+00:00
983.7,2025-07-02T02:24:35.981074+00:00
1046.7,2025-07-02T02:24:40.990638+00:00
1000.9,2025-07-02T02:24:45.994483+00:00
1029.3,2025-07-02T02:24:50.986741+00:00
1022.5,2025-07-02T02:24:55.992150+00:00
1041.9,2025-07-02T02:25:00.988563+00:00
1008.1,2025-07-02T02:25:05.996864+00:00
1010.7,2025-07-02T02:25:10.999147+00:00
1022.9,2025-07-02T02:25:16.001650+00:00
1013.4,2025-07-02T02:25:20.992007+00:00
1009.6,2025-07-02T02:25:25.995560+00:00
1040.5,2025-07-02T02:25:31.005191+00:00
1029.2,2025-07-02T02:25:36.000672+00:00
1031.5,2025-07-02T02:25:41.000795+00:00
1042.3,2025-07-02T02:25:45.999350+00:00
1037.3,2025-07-02T02:25:50.999164+00:00
985.0,2025-07-02T02:25:56.005356+00:00
1032.4,2025-07-02T02:26:01.006639+00:00
995.9,2025-07-02T02:26:06.017514+00:00
1040.0,2025-07-02T02:26:11.012368+00:00
1041.1,2025-07-02T02:26:16.026725+00:00
982.0,2025-07-02T02:26:21.021836+00:00
992.3,2025-07-02T02:26:26.014719+00:00
1028.8,2025-07-02T02:26:31.013649+00:00
1041.4,2025-07-02T02:26:36.018028+00:00
994.6,2025-07-02T02:26:41.026524+00:00
991.2,2025-07-02T02:26:46.016704+00:00
996.9,2025-07-02T02:26:51.024474+00:00
993.9,2025-07-02T02:26:56.020050+00:00
1021.7,2025-07-02T02:27:01.035488+00:00
1046.9,2025-07-02T02:27:06.029345+00:00
1047.8,2025-07-02T02:27:11.038738+00:00
990.0,2025-07-02T02:27:16.037535+00:00
1015.9,2025-07-02T02:27:21.034479+00:00
996.0,2025-07-02T02:27:26.043548+00:00
1038.9,2025-07-02T02:27:31.036605+00:00
984.3,2025-07-02T02:27:36.033913+00:00
1013.1,2025-07-02T02:27:41.042346+00:00
1029.1,2025-07-02T02:33:48.245255+00:00
1033.5,2025-07-02T02:33:51.153206+00:00
988.9,2025-07-02T02:33:56.163889+00:00
986.0,2025-07-02T02:34:01.157866+00:00
1031.9,2025-07-02T02:34:06.153290+00:00
1040.9,2025-07-02T02:34:11.169451+00:00
1001.8,2025-07-02T02:34:16.165958+00:00
1030.3,2025-07-02T02:34:21.171077+00:00
1039.0,2025-07-02T02:34:26.157123+00:00
1013.2,2025-07-02T02:34:31.169032+00:00
1046.7,2025-07-02T02:34:36.170057+00:00
1008.9,2025-07-02T03:20:23.523281+00:00
1049.1,2025-07-02T03:20:25.770587+00:00
1009.2,2025-07-02T03:20:30.780940+00:00
1041.1,2025-07-02T03:20:35.781432+00:00
1018.1,2025-07-02T03:20:40.788445+00:00
1011.1,2025-07-02T03:20:45.774758+00:00
980.6,2025-07-02T03:20:50.777375+00:00
1010.0,2025-07-02T03:20:55.778591+00:00
1037.7,2025-07-02T03:21:00.789352+00:00
988.0,2025-07-02T03:21:05.787794+00:00
1025.9,2025-07-02T03:21:10.781784+00:00
1043.4,2025-07-02T03:21:15.785639+00:00
990.2,2025-07-02T03:21:20.794409+00:00
1005.5,2025-07-02T03:21:25.793705+00:00
1043.3,2025-07-02T03:21:30.794507+00:00
1030.7,2025-07-02T03:21:35.786043+00:00
988.9,2025-07-02T03:21:40.798394+00:00
1013.9,2025-07-02T03:21:45.791285+00:00
982.9,2025-07-02T03:21:50.798802+00:00
1024.0,2025-07-02T03:21:55.800346+00:00
999.0,2025-07-02T03:22:00.807140+00:00
1006.1,2025-07-02T03:22:05.806972+00:00
1017.9,2025-07-02T03:22:10.801328+00:00
1009.0,2025-07-02T03:22:15.813312+00:00
1014.2,2025-07-02T03:22:20.817572+00:00
1023.1,2025-07-02T03:22:25.804732+00:00
984.8,2025-07-02T03:22:30.805589+00:00
1001.2,2025-07-02T03:22:35.812924+00:00
1047.4,2025-07-02T03:22:40.808981+00:00
996.4,2025-07-02T03:22:45.819042+00:00
994.7,2025-07-02T03:22:50.820104+00:00
987.2,2025-07-02T03:22:55.821077+00:00
1026.2,2025-07-02T03:23:00.824322+00:00
994.5,2025-07-02T03:23:05.823983+00:00
1041.7,2025-07-02T03:23:10.818115+00:00
1021.4,2025-07-02T03:23:15.823197+00:00
981.1,2025-07-02T03:23:20.823741+00:00
987.2,2025-07-02T03:23:25.832086+00:00
1005.2,2025-07-02T03:23:30.829321+00:00
1026.4,2025-07-02T03:23:35.835880+00:00
1035.3,2025-07-02T03:23:40.829020+00:00
1031.2,2025-07-02T03:23:45.825858+00:00
1000.0,2025-07-02T03:23:50.827619+00:00
989.8,2025-07-02T03:23:55.824941+00:00
1047.7,2025-07-02T03:24:00.847569+00:00
1005.0,2025-07-02T03:24:05.829754+00:00
1049.4,2025-07-02T03:24:10.859867+00:00
1044.4,2025-07-02T03:24:15.852442+00:00
1033.7,2025-07-02T03:24:20.838266+00:00
1038.4,2025-07-02T03:24:25.841859+00:00
995.7,2025-07-02T03:24:30.852425+00:00
992.7,2025-07-02T03:24:35.849032+00:00
996.1,2025-07-02T03:24:40.847320+00:00
989.6,2025-07-02T03:24:45.852758+00:00
1008.7,2025-07-02T03:24:50.849654+00:00
989.5,2025-07-02T03:24:55.855018+00:00
1041.1,2025-07-02T03:25:00.850816+00:00
1009.2,2025-07-02T03:25:05.855091+00:00
1012.3,2025-07-02T03:25:10.860173+00:00
987.5,2025-07-02T03:25:15.867444+00:00
1027.2,2025-07-02T03:25:20.859173+00:00
1015.2,2025-07-02T03:25:25.866557+00:00
987.7,2025-07-02T03:25:30.859260+00:00
1006.8,2025-07-02T03:25:35.874375+00:00
1042.0,2025-07-02T03:25:40.872901+00:00
1049.1,2025-07-02T03:25:45.874002+00:00
1000.6,2025-07-02T03:25:50.864868+00:00
1045.7,2025-07-02T03:25:55.866024+00:00
1044.5,2025-07-02T03:26:00.875548+00:00
1006.0,2025-07-02T03:26:05.870236+00:00
1049.6,2025-07-02T03:26:10.880791+00:00
1038.1,2025-07-02T03:26:15.873265+00:00
1034.9,2025-07-02T03:26:20.891935+00:00
1023.6,2025-07-02T03:26:25.878365+00:00
1032.0,2025-07-02T03:26:30.879802+00:00
1043.1,2025-07-02T03:26:35.877984+00:00
1002.9,2025-07-02T03:26:40.883602+00:00
1038.5,2025-07-02T03:26:45.883143+00:00
1041.0,2025-07-02T03:26:50.890846+00:00
1006.3,2025-07-02T03:26:55.890550+00:00
1013.7,2025-07-02T03:27:00.893848+00:00
1007.5,2025-07-02T03:27:05.890463+00:00
997.4,2025-07-02T03:27:10.905304+00:00
1015.1,2025-07-02T03:27:15.904324+00:00
1048.1,2025-07-02T03:27:20.900339+00:00
1013.3,2025-07-02T03:27:25.901034+00:00
981.6,2025-07-02T03:27:30.897988+00:00
1021.7,2025-07-02T03:27:35.911119+00:00
1025.9,2025-07-02T03:27:40.904169+00:00
1045.9,2025-07-02T03:27:45.910575+00:00
1041.5,2025-07-02T03:27:50.918846+00:00
1020.6,2025-07-02T03:27:55.907331+00:00
1047.6,2025-07-02T03:28:00.911879+00:00
1017.7,2025-07-02T03:28:05.919255+00:00
985.5,2025-07-02T03:28:10.925887+00:00
1007.9,2025-07-02T03:28:15.931091+00:00
980.5,2025-07-02T03:28:20.922728+00:00
1007.4,2025-07-02T03:28:25.928034+00:00
986.2,2025-07-02T03:28:30.931104+00:00
992.8,2025-07-02T03:28:35.923792+00:00
990.1,2025-07-02T03:28:40.918331+00:00
989.8,2025-07-02T03:28:45.937221+00:00
1044.3,2025-07-02T03:28:50.931760+00:00
983.0,2025-07-02T03:28:55.981711+00:00
1018.9,2025-07-02T03:29:00.939889+00:00
1032.1,2025-07-02T03:29:05.929983+00:00
1038.1,2025-07-02T03:29:10.927558+00:00
1021.6,2025-07-02T03:29:15.944032+00:00
997.1,2025-07-02T03:29:20.945920+00:00
987.3,2025-07-02T03:29:25.941261+00:00
992.6,2025-07-02T03:29:30.935688+00:00
1010.7,2025-07-02T03:29:35.950200+00:00
1003.0,2025-07-02T03:29:40.949282+00:00
996.1,2025-07-02T03:29:45.947404+00:00
1033.7,2025-07-02T03:29:50.947255+00:00
985.7,2025-07-02T03:29:55.942693+00:00
1004.4,2025-07-02T03:30:00.945060+00:00
1041.0,2025-07-02T03:30:05.950050+00:00
1039.1,2025-07-02T03:30:10.953178+00:00
1022.3,2025-07-02T03:30:15.956584+00:00
1030.2,2025-07-02T03:30:20.958131+00:00
1044.5,2025-07-02T03:30:25.956241+00:00
1014.9,2025-07-02T03:30:30.952176+00:00
1047.7,2025-07-02T03:30:35.961730+00:00
995.8,2025-07-02T03:30:41.053729+00:00
1037.2,2025-07-02T03:30:46.057879+00:00
1036.9,2025-07-02T03:30:51.061051+00:00
1033.1,2025-07-02T03:30:56.061684+00:00
1019.9,2025-07-02T03:31:01.114472+00:00
1016.0,2025-07-02T03:31:06.065380+00:00
984.1,2025-07-02T03:31:11.074114+00:00
1040.2,2025-07-02T03:31:16.071696+00:00
1005.2,2025-07-02T03:31:21.077259+00:00
1048.7,2025-07-02T03:31:26.080801+00:00
1042.0,2025-07-02T03:31:31.077574+00:00
993.1,2025-07-02T03:31:36.084122+00:00
994.9,2025-07-02T03:31:41.078100+00:00
989.7,2025-07-02T03:31:46.070808+00:00
1034.0,2025-07-02T03:31:51.082987+00:00
984.8,2025-07-02T03:31:56.076799+00:00
1008.6,2025-07-02T03:32:01.082205+00:00
1008.2,2025-07-02T03:32:06.089757+00:00
1007.0,2025-07-02T03:32:11.094809+00:00
1020.2,2025-07-02T03:32:16.094501+00:00
1040.9,2025-07-02T03:32:21.102374+00:00
1032.2,2025-07-02T03:32:26.091599+00:00
1007.4,2025-07-02T03:32:31.100094+00:00
993.2,2025-07-02T03:32:36.091630+00:00
990.7,2025-07-02T03:32:41.094759+00:00
1004.6,2025-07-02T03:32:46.114321+00:00
1035.8,2025-07-02T03:32:51.114265+00:00
1004.1,2025-07-02T03:32:56.096978+00:00
1022.1,2025-07-02T03:33:01.099946+00:00
987.8,2025-07-02T03:33:06.114505+00:00
994.4,2025-07-02T03:33:11.100834+00:00
987.9,2025-07-02T03:33:16.106960+00:00
1014.0,2025-07-02T03:33:21.107547+00:00
1023.1,2025-07-02T03:33:26.108946+00:00
982.7,2025-07-02T03:33:31.116317+00:00
998.9,2025-07-02T03:33:36.112115+00:00
1046.9,2025-07-02T03:33:41.116570+00:00
1032.3,2025-07-02T03:33:46.127140+00:00
989.5,2025-07-02T03:33:51.115572+00:00
1010.3,2025-07-02T03:33:56.131365+00:00
1026.9,2025-07-02T03:34:01.127255+00:00
1005.6,2025-07-02T03:34:06.135619+00:00
988.7,2025-07-02T03:34:11.142318+00:00
1031.6,2025-07-02T03:34:16.133770+00:00
1040.5,2025-07-02T03:34:21.142433+00:00
981.9,2025-07-02T03:34:26.134917+00:00
1030.9,2025-07-02T03:34:31.140808+00:00
1039.0,2025-07-02T03:34:36.134152+00:00
1005.9,2025-07-02T03:34:41.135574+00:00
1022.5,2025-07-02T03:34:46.139644+00:00
1011.8,2025-07-02T03:34:51.146043+00:00
1007.9,2025-07-02T03:34:56.152998+00:00
981.7,2025-07-02T03:35:01.144349+00:00
983.4,2025-07-02T03:35:06.149037+00:00
997.6,2025-07-02T03:35:11.152937+00:00
993.3,2025-07-02T03:35:16.162282+00:00
1010.1,2025-07-02T03:35:21.157676+00:00
1002.0,2025-07-02T03:35:26.150512+00:00
1017.0,2025-07-02T03:35:31.153245+00:00
1021.8,2025-07-02T03:35:36.154349+00:00
1023.5,2025-07-02T03:35:41.150269+00:00
1042.3,2025-07-02T03:35:46.150706+00:00
1012.5,2025-07-02T03:35:51.156032+00:00
1040.7,2025-07-02T03:35:56.159143+00:00
1011.7,2025-07-02T03:36:01.162459+00:00
1029.6,2025-07-02T03:36:06.164253+00:00
989.1,2025-07-02T03:36:11.181410+00:00
1040.6,2025-07-02T03:36:16.161205+00:00
1036.6,2025-07-02T03:36:21.168650+00:00
1041.5,2025-07-02T03:36:26.181240+00:00
1030.3,2025-07-02T03:36:31.181030+00:00
985.4,2025-07-02T03:36:36.191621+00:00
1034.1,2025-07-02T03:36:41.178626+00:00
1044.1,2025-07-02T03:36:46.180570+00:00
1012.7,2025-07-02T03:36:51.172407+00:00
1032.8,2025-07-02T03:36:56.183500+00:00
1014.6,2025-07-02T03:37:01.181548+00:00
1013.4,2025-07-02T03:37:06.177822+00:00
991.1,2025-07-02T03:37:11.195383+00:00
1017.6,2025-07-02T03:37:16.183758+00:00
1042.7,2025-07-02T03:37:21.179980+00:00
1048.7,2025-07-02T03:37:26.183445+00:00
1035.0,2025-07-02T03:37:31.180955+00:00
1017.4,2025-07-02T03:37:36.192059+00:00
1010.1,2025-07-02T03:37:41.186882+00:00
1049.8,2025-07-02T03:37:46.197275+00:00
1009.5,2025-07-02T03:37:51.192304+00:00
1048.9,2025-07-02T03:37:56.209111+00:00
1005.4,2025-07-02T03:38:01.202112+00:00
1027.2,2025-07-02T03:38:06.199654+00:00
1021.1,2025-07-02T03:38:11.211127+00:00
989.2,2025-07-02T03:38:16.198094+00:00
1006.0,2025-07-02T03:38:21.200620+00:00
1043.7,2025-07-02T03:38:26.207098+00:00
987.6,2025-07-02T03:38:31.209696+00:00
996.9,2025-07-02T03:38:36.212340+00:00
989.7,2025-07-02T03:38:41.221994+00:00
986.1,2025-07-02T03:38:46.215866+00:00
1011.5,2025-07-02T03:38:51.209049+00:00
1008.3,2025-07-02T03:38:56.219606+00:00
1038.2,2025-07-02T03:39:01.211912+00:00
1046.9,2025-07-02T03:39:06.220745+00:00
1028.3,2025-07-02T03:39:11.219397+00:00
991.1,2025-07-02T03:39:16.225946+00:00
995.7,2025-07-02T03:39:21.231749+00:00
1016.6,2025-07-02T03:39:26.226837+00:00
1012.8,2025-07-02T03:39:31.222760+00:00
983.1,2025-07-02T03:39:36.229987+00:00
991.0,2025-07-02T03:39:41.230375+00:00
1001.8,2025-07-02T03:39:46.228420+00:00
