value,time
0.435,2025-07-02T02:20:01.687992+00:00
0.431,2025-07-02T02:20:05.898459+00:00
0.263,2025-07-02T02:20:10.905856+00:00
0.31,2025-07-02T02:20:15.910482+00:00
0.266,2025-07-02T02:20:20.913287+00:00
0.555,2025-07-02T02:20:25.911666+00:00
0.353,2025-07-02T02:20:30.914875+00:00
0.316,2025-07-02T02:20:35.903579+00:00
0.363,2025-07-02T02:20:40.914991+00:00
0.234,2025-07-02T02:20:45.905806+00:00
0.492,2025-07-02T02:20:50.905302+00:00
0.374,2025-07-02T02:20:55.912122+00:00
0.238,2025-07-02T02:21:00.918979+00:00
0.448,2025-07-02T02:21:05.919665+00:00
0.292,2025-07-02T02:21:10.930996+00:00
0.204,2025-07-02T02:21:15.913238+00:00
0.268,2025-07-02T02:21:20.928493+00:00
0.299,2025-07-02T02:21:25.922044+00:00
0.28,2025-07-02T02:21:30.932071+00:00
0.25,2025-07-02T02:21:35.933071+00:00
0.302,2025-07-02T02:21:40.931226+00:00
0.456,2025-07-02T02:21:45.927766+00:00
0.558,2025-07-02T02:21:50.922044+00:00
0.582,2025-07-02T02:21:55.925360+00:00
0.24,2025-07-02T02:22:00.927855+00:00
0.391,2025-07-02T02:22:05.933900+00:00
0.59,2025-07-02T02:22:10.945974+00:00
0.551,2025-07-02T02:22:15.939512+00:00
0.525,2025-07-02T02:22:20.931833+00:00
0.357,2025-07-02T02:22:25.937818+00:00
0.231,2025-07-02T02:22:30.936050+00:00
0.537,2025-07-02T02:22:35.944258+00:00
0.451,2025-07-02T02:22:40.935216+00:00
0.502,2025-07-02T02:22:45.947693+00:00
0.47,2025-07-02T02:22:50.945305+00:00
0.325,2025-07-02T02:22:55.954335+00:00
0.275,2025-07-02T02:23:00.952400+00:00
0.234,2025-07-02T02:23:05.961655+00:00
0.562,2025-07-02T02:23:10.945871+00:00
0.465,2025-07-02T02:23:15.964283+00:00
0.311,2025-07-02T02:23:20.948716+00:00
0.25,2025-07-02T02:23:25.953903+00:00
0.291,2025-07-02T02:23:30.960563+00:00
0.361,2025-07-02T02:23:35.963443+00:00
0.501,2025-07-02T02:23:40.955707+00:00
0.549,2025-07-02T02:23:45.961098+00:00
0.239,2025-07-02T02:23:50.963148+00:00
0.277,2025-07-02T02:23:55.973107+00:00
0.337,2025-07-02T02:24:00.963679+00:00
0.574,2025-07-02T02:24:05.963717+00:00
0.268,2025-07-02T02:24:10.971760+00:00
0.362,2025-07-02T02:24:15.968899+00:00
0.409,2025-07-02T02:24:20.980361+00:00
0.449,2025-07-02T02:24:25.980044+00:00
0.251,2025-07-02T02:24:30.972134+00:00
0.402,2025-07-02T02:24:35.974068+00:00
0.301,2025-07-02T02:24:40.984409+00:00
0.336,2025-07-02T02:24:45.988478+00:00
0.517,2025-07-02T02:24:50.980735+00:00
0.374,2025-07-02T02:24:55.986145+00:00
0.231,2025-07-02T02:25:00.981558+00:00
0.304,2025-07-02T02:25:05.987855+00:00
0.382,2025-07-02T02:25:10.991140+00:00
0.359,2025-07-02T02:25:15.994643+00:00
0.376,2025-07-02T02:25:20.985001+00:00
0.345,2025-07-02T02:25:25.987553+00:00
0.275,2025-07-02T02:25:30.998184+00:00
0.336,2025-07-02T02:25:35.992665+00:00
0.209,2025-07-02T02:25:40.993788+00:00
0.494,2025-07-02T02:25:45.992344+00:00
0.477,2025-07-02T02:25:50.992159+00:00
0.577,2025-07-02T02:25:55.998374+00:00
0.415,2025-07-02T02:26:00.997631+00:00
0.502,2025-07-02T02:26:06.008506+00:00
0.209,2025-07-02T02:26:11.005362+00:00
0.566,2025-07-02T02:26:16.018717+00:00
0.349,2025-07-02T02:26:21.014829+00:00
0.32,2025-07-02T02:26:26.005779+00:00
0.494,2025-07-02T02:26:31.005642+00:00
0.394,2025-07-02T02:26:36.010021+00:00
0.518,2025-07-02T02:26:41.017516+00:00
0.472,2025-07-02T02:26:46.008697+00:00
0.225,2025-07-02T02:26:51.016468+00:00
0.416,2025-07-02T02:26:56.012043+00:00
0.206,2025-07-02T02:27:01.027480+00:00
0.273,2025-07-02T02:27:06.021337+00:00
0.261,2025-07-02T02:27:11.031731+00:00
0.333,2025-07-02T02:27:16.029528+00:00
0.343,2025-07-02T02:27:21.026472+00:00
0.292,2025-07-02T02:27:26.035540+00:00
0.466,2025-07-02T02:27:31.028598+00:00
0.376,2025-07-02T02:27:36.025906+00:00
0.366,2025-07-02T02:27:41.034339+00:00
0.531,2025-07-02T02:33:48.259268+00:00
