value,time
0.354,2025-07-02T02:20:01.686992+00:00
0.319,2025-07-02T02:20:05.897459+00:00
0.3,2025-07-02T02:20:10.904855+00:00
0.545,2025-07-02T02:20:15.909482+00:00
0.28,2025-07-02T02:20:20.913287+00:00
0.578,2025-07-02T02:20:25.910666+00:00
0.429,2025-07-02T02:20:30.913878+00:00
0.354,2025-07-02T02:20:35.902578+00:00
0.456,2025-07-02T02:20:40.913990+00:00
0.595,2025-07-02T02:20:45.904805+00:00
0.583,2025-07-02T02:20:50.904300+00:00
0.398,2025-07-02T02:20:55.911121+00:00
0.52,2025-07-02T02:21:00.917978+00:00
0.508,2025-07-02T02:21:05.918664+00:00
0.235,2025-07-02T02:21:10.929995+00:00
0.419,2025-07-02T02:21:15.912237+00:00
0.365,2025-07-02T02:21:20.927492+00:00
0.349,2025-07-02T02:21:25.921043+00:00
0.577,2025-07-02T02:21:30.931070+00:00
0.456,2025-07-02T02:21:35.932070+00:00
0.449,2025-07-02T02:21:40.930225+00:00
0.379,2025-07-02T02:21:45.926766+00:00
0.379,2025-07-02T02:21:50.921042+00:00
0.235,2025-07-02T02:21:55.923359+00:00
0.379,2025-07-02T02:22:00.926854+00:00
0.255,2025-07-02T02:22:05.932898+00:00
0.234,2025-07-02T02:22:10.943972+00:00
0.267,2025-07-02T02:22:15.937510+00:00
0.341,2025-07-02T02:22:20.930832+00:00
0.46,2025-07-02T02:22:25.936817+00:00
0.533,2025-07-02T02:22:30.934049+00:00
0.505,2025-07-02T02:22:35.943257+00:00
0.422,2025-07-02T02:22:40.934215+00:00
0.528,2025-07-02T02:22:45.945692+00:00
0.538,2025-07-02T02:22:50.944304+00:00
0.544,2025-07-02T02:22:55.953334+00:00
0.205,2025-07-02T02:23:00.950399+00:00
0.472,2025-07-02T02:23:05.960654+00:00
0.506,2025-07-02T02:23:10.943878+00:00
0.314,2025-07-02T02:23:15.962281+00:00
0.554,2025-07-02T02:23:20.947715+00:00
0.388,2025-07-02T02:23:25.951901+00:00
0.483,2025-07-02T02:23:30.959562+00:00
0.518,2025-07-02T02:23:35.962442+00:00
0.551,2025-07-02T02:23:40.954706+00:00
0.304,2025-07-02T02:23:45.960096+00:00
0.505,2025-07-02T02:23:50.961145+00:00
0.229,2025-07-02T02:23:55.971105+00:00
0.587,2025-07-02T02:24:00.962678+00:00
0.391,2025-07-02T02:24:05.962717+00:00
0.368,2025-07-02T02:24:10.970759+00:00
0.468,2025-07-02T02:24:15.966898+00:00
0.535,2025-07-02T02:24:20.978359+00:00
0.523,2025-07-02T02:24:25.978042+00:00
0.48,2025-07-02T02:24:30.971133+00:00
0.259,2025-07-02T02:24:35.973067+00:00
0.44,2025-07-02T02:24:40.983408+00:00
0.243,2025-07-02T02:24:45.987477+00:00
0.475,2025-07-02T02:24:50.978733+00:00
0.202,2025-07-02T02:24:55.984143+00:00
0.358,2025-07-02T02:25:00.979555+00:00
0.561,2025-07-02T02:25:05.985854+00:00
0.341,2025-07-02T02:25:10.990139+00:00
0.508,2025-07-02T02:25:15.992642+00:00
0.446,2025-07-02T02:25:20.982999+00:00
0.276,2025-07-02T02:25:25.985551+00:00
0.204,2025-07-02T02:25:30.996183+00:00
0.226,2025-07-02T02:25:35.991664+00:00
0.342,2025-07-02T02:25:40.991786+00:00
0.394,2025-07-02T02:25:45.990342+00:00
0.21,2025-07-02T02:25:50.991157+00:00
0.394,2025-07-02T02:25:55.997373+00:00
0.512,2025-07-02T02:26:00.995629+00:00
0.214,2025-07-02T02:26:06.006504+00:00
0.304,2025-07-02T02:26:11.003360+00:00
0.502,2025-07-02T02:26:16.016715+00:00
0.29,2025-07-02T02:26:21.012828+00:00
0.308,2025-07-02T02:26:26.004777+00:00
0.251,2025-07-02T02:26:31.003640+00:00
0.503,2025-07-02T02:26:36.008027+00:00
0.571,2025-07-02T02:26:41.015514+00:00
0.475,2025-07-02T02:26:46.006695+00:00
0.522,2025-07-02T02:26:51.014466+00:00
0.507,2025-07-02T02:26:56.010041+00:00
0.314,2025-07-02T02:27:01.025479+00:00
0.49,2025-07-02T02:27:06.020337+00:00
0.312,2025-07-02T02:27:11.029729+00:00
0.549,2025-07-02T02:27:16.027526+00:00
0.597,2025-07-02T02:27:21.023469+00:00
0.523,2025-07-02T02:27:26.033538+00:00
0.516,2025-07-02T02:27:31.026596+00:00
0.332,2025-07-02T02:27:36.023904+00:00
0.37,2025-07-02T02:27:41.032337+00:00
0.248,2025-07-02T02:33:48.256265+00:00
0.258,2025-07-02T02:33:51.142196+00:00
0.353,2025-07-02T02:33:56.152879+00:00
0.329,2025-07-02T02:34:01.147857+00:00
0.341,2025-07-02T02:34:06.142280+00:00
0.422,2025-07-02T02:34:11.158441+00:00
0.509,2025-07-02T02:34:16.154948+00:00
0.24,2025-07-02T02:34:21.160067+00:00
0.561,2025-07-02T02:34:26.146113+00:00
0.388,2025-07-02T02:34:31.159023+00:00
0.218,2025-07-02T02:34:36.159048+00:00
0.428,2025-07-02T03:20:23.565321+00:00
0.504,2025-07-02T03:20:25.758576+00:00
0.284,2025-07-02T03:20:30.766928+00:00
0.319,2025-07-02T03:20:35.768420+00:00
0.217,2025-07-02T03:20:40.775433+00:00
0.409,2025-07-02T03:20:45.762747+00:00
0.515,2025-07-02T03:20:50.766365+00:00
0.446,2025-07-02T03:20:55.765580+00:00
0.437,2025-07-02T03:21:00.777341+00:00
0.56,2025-07-02T03:21:05.775783+00:00
0.204,2025-07-02T03:21:10.770774+00:00
0.215,2025-07-02T03:21:15.773628+00:00
0.314,2025-07-02T03:21:20.782398+00:00
0.441,2025-07-02T03:21:25.782695+00:00
0.215,2025-07-02T03:21:30.783497+00:00
0.204,2025-07-02T03:21:35.774032+00:00
0.251,2025-07-02T03:21:40.785382+00:00
0.463,2025-07-02T03:21:45.779274+00:00
0.373,2025-07-02T03:21:50.784789+00:00
0.322,2025-07-02T03:21:55.788335+00:00
0.24,2025-07-02T03:22:00.794128+00:00
0.351,2025-07-02T03:22:05.794962+00:00
0.406,2025-07-02T03:22:10.789318+00:00
0.302,2025-07-02T03:22:15.799299+00:00
0.359,2025-07-02T03:22:20.800557+00:00
0.462,2025-07-02T03:22:25.791721+00:00
0.347,2025-07-02T03:22:30.792577+00:00
0.502,2025-07-02T03:22:35.799912+00:00
0.597,2025-07-02T03:22:40.795969+00:00
0.37,2025-07-02T03:22:45.806030+00:00
0.518,2025-07-02T03:22:50.807093+00:00
0.594,2025-07-02T03:22:55.806064+00:00
0.428,2025-07-02T03:23:00.811311+00:00
0.24,2025-07-02T03:23:05.810971+00:00
0.408,2025-07-02T03:23:10.804102+00:00
0.524,2025-07-02T03:23:15.809184+00:00
0.35,2025-07-02T03:23:20.809728+00:00
0.392,2025-07-02T03:23:25.817072+00:00
0.566,2025-07-02T03:23:30.815309+00:00
0.249,2025-07-02T03:23:35.819865+00:00
0.473,2025-07-02T03:23:40.815007+00:00
0.278,2025-07-02T03:23:45.811845+00:00
0.348,2025-07-02T03:23:50.813606+00:00
0.55,2025-07-02T03:23:55.810928+00:00
0.224,2025-07-02T03:24:00.831555+00:00
0.371,2025-07-02T03:24:05.815741+00:00
0.393,2025-07-02T03:24:10.844854+00:00
0.369,2025-07-02T03:24:15.836428+00:00
0.529,2025-07-02T03:24:20.824254+00:00
0.465,2025-07-02T03:24:25.826845+00:00
0.478,2025-07-02T03:24:30.837412+00:00
0.209,2025-07-02T03:24:35.835019+00:00
0.369,2025-07-02T03:24:40.832306+00:00
0.225,2025-07-02T03:24:45.835742+00:00
0.267,2025-07-02T03:24:50.835642+00:00
0.539,2025-07-02T03:24:55.840004+00:00
0.211,2025-07-02T03:25:00.833800+00:00
0.522,2025-07-02T03:25:05.841079+00:00
0.367,2025-07-02T03:25:10.845160+00:00
0.573,2025-07-02T03:25:15.850429+00:00
0.219,2025-07-02T03:25:20.844159+00:00
0.23,2025-07-02T03:25:25.848540+00:00
0.583,2025-07-02T03:25:30.842245+00:00
0.574,2025-07-02T03:25:35.858361+00:00
0.536,2025-07-02T03:25:40.856887+00:00
0.316,2025-07-02T03:25:45.855986+00:00
0.245,2025-07-02T03:25:50.847852+00:00
0.554,2025-07-02T03:25:55.848009+00:00
0.252,2025-07-02T03:26:00.858533+00:00
0.558,2025-07-02T03:26:05.852219+00:00
0.35,2025-07-02T03:26:10.863775+00:00
0.426,2025-07-02T03:26:15.857250+00:00
0.554,2025-07-02T03:26:20.872917+00:00
0.43,2025-07-02T03:26:25.863351+00:00
0.574,2025-07-02T03:26:30.864788+00:00
0.347,2025-07-02T03:26:35.861970+00:00
0.36,2025-07-02T03:26:40.866586+00:00
0.23,2025-07-02T03:26:45.867129+00:00
0.298,2025-07-02T03:26:50.873831+00:00
0.255,2025-07-02T03:26:55.872534+00:00
0.479,2025-07-02T03:27:00.877834+00:00
0.305,2025-07-02T03:27:05.872447+00:00
0.206,2025-07-02T03:27:10.886287+00:00
0.253,2025-07-02T03:27:15.885307+00:00
0.256,2025-07-02T03:27:20.882322+00:00
0.521,2025-07-02T03:27:25.884019+00:00
0.434,2025-07-02T03:27:30.878971+00:00
0.405,2025-07-02T03:27:35.893102+00:00
0.206,2025-07-02T03:27:40.888155+00:00
0.557,2025-07-02T03:27:45.891558+00:00
0.413,2025-07-02T03:27:50.898827+00:00
0.344,2025-07-02T03:27:55.889315+00:00
0.522,2025-07-02T03:28:00.894864+00:00
0.21,2025-07-02T03:28:05.902240+00:00
0.445,2025-07-02T03:28:10.905870+00:00
0.351,2025-07-02T03:28:15.898062+00:00
0.512,2025-07-02T03:28:20.901709+00:00
0.397,2025-07-02T03:28:25.907014+00:00
0.279,2025-07-02T03:28:30.910086+00:00
0.431,2025-07-02T03:28:35.905776+00:00
0.534,2025-07-02T03:28:40.900315+00:00
0.266,2025-07-02T03:28:45.918204+00:00
0.241,2025-07-02T03:28:50.913744+00:00
0.2,2025-07-02T03:28:55.919655+00:00
0.394,2025-07-02T03:29:00.919871+00:00
0.242,2025-07-02T03:29:05.910966+00:00
0.479,2025-07-02T03:29:10.909542+00:00
0.591,2025-07-02T03:29:15.922011+00:00
0.202,2025-07-02T03:29:20.925903+00:00
0.384,2025-07-02T03:29:25.920242+00:00
0.318,2025-07-02T03:29:30.916670+00:00
0.483,2025-07-02T03:29:35.930182+00:00
0.254,2025-07-02T03:29:40.927262+00:00
0.329,2025-07-02T03:29:45.926362+00:00
0.392,2025-07-02T03:29:50.927237+00:00
0.337,2025-07-02T03:29:55.923676+00:00
0.491,2025-07-02T03:30:00.926042+00:00
0.251,2025-07-02T03:30:05.932034+00:00
0.463,2025-07-02T03:30:10.933160+00:00
0.459,2025-07-02T03:30:15.936565+00:00
0.312,2025-07-02T03:30:20.936110+00:00
0.375,2025-07-02T03:30:25.936223+00:00
0.399,2025-07-02T03:30:30.931157+00:00
0.537,2025-07-02T03:30:35.939710+00:00
0.37,2025-07-02T03:30:40.965648+00:00
0.428,2025-07-02T03:30:46.037860+00:00
0.273,2025-07-02T03:30:51.041033+00:00
0.457,2025-07-02T03:30:56.042474+00:00
0.315,2025-07-02T03:31:01.092451+00:00
0.501,2025-07-02T03:31:06.044362+00:00
0.421,2025-07-02T03:31:11.054096+00:00
0.389,2025-07-02T03:31:16.049219+00:00
0.363,2025-07-02T03:31:21.054239+00:00
0.232,2025-07-02T03:31:26.055767+00:00
0.205,2025-07-02T03:31:31.053552+00:00
0.597,2025-07-02T03:31:36.059100+00:00
0.311,2025-07-02T03:31:41.056080+00:00
0.518,2025-07-02T03:31:46.050790+00:00
0.509,2025-07-02T03:31:51.058965+00:00
0.327,2025-07-02T03:31:56.053778+00:00
0.384,2025-07-02T03:32:01.061186+00:00
0.507,2025-07-02T03:32:06.067737+00:00
0.589,2025-07-02T03:32:11.070787+00:00
0.21,2025-07-02T03:32:16.071480+00:00
0.209,2025-07-02T03:32:21.077350+00:00
0.317,2025-07-02T03:32:26.069580+00:00
0.533,2025-07-02T03:32:31.078073+00:00
0.24,2025-07-02T03:32:36.070610+00:00
0.358,2025-07-02T03:32:41.074741+00:00
0.365,2025-07-02T03:32:46.089299+00:00
0.347,2025-07-02T03:32:51.091243+00:00
0.517,2025-07-02T03:32:56.075959+00:00
0.564,2025-07-02T03:33:01.077926+00:00
0.37,2025-07-02T03:33:06.091484+00:00
0.572,2025-07-02T03:33:11.078814+00:00
0.595,2025-07-02T03:33:16.084940+00:00
0.523,2025-07-02T03:33:21.083525+00:00
0.465,2025-07-02T03:33:26.086925+00:00
0.279,2025-07-02T03:33:31.093296+00:00
0.59,2025-07-02T03:33:36.090094+00:00
0.404,2025-07-02T03:33:41.089545+00:00
0.571,2025-07-02T03:33:46.103048+00:00
0.39,2025-07-02T03:33:51.092550+00:00
0.212,2025-07-02T03:33:56.107343+00:00
0.475,2025-07-02T03:34:01.103233+00:00
0.541,2025-07-02T03:34:06.111597+00:00
0.334,2025-07-02T03:34:11.116295+00:00
0.304,2025-07-02T03:34:16.107746+00:00
0.481,2025-07-02T03:34:21.117411+00:00
0.579,2025-07-02T03:34:26.108893+00:00
0.539,2025-07-02T03:34:31.112782+00:00
0.541,2025-07-02T03:34:36.106127+00:00
0.562,2025-07-02T03:34:41.109551+00:00
0.251,2025-07-02T03:34:46.113620+00:00
0.563,2025-07-02T03:34:51.124023+00:00
0.212,2025-07-02T03:34:56.124972+00:00
0.384,2025-07-02T03:35:01.119326+00:00
0.504,2025-07-02T03:35:06.123014+00:00
0.29,2025-07-02T03:35:11.124911+00:00
0.462,2025-07-02T03:35:16.136258+00:00
0.371,2025-07-02T03:35:21.130651+00:00
0.24,2025-07-02T03:35:26.126489+00:00
0.39,2025-07-02T03:35:31.129222+00:00
0.204,2025-07-02T03:35:36.128326+00:00
0.321,2025-07-02T03:35:41.126247+00:00
0.408,2025-07-02T03:35:46.126684+00:00
0.55,2025-07-02T03:35:51.130009+00:00
0.234,2025-07-02T03:35:56.134121+00:00
0.39,2025-07-02T03:36:01.137436+00:00
0.269,2025-07-02T03:36:06.138229+00:00
0.366,2025-07-02T03:36:11.153384+00:00
0.237,2025-07-02T03:36:16.137183+00:00
0.508,2025-07-02T03:36:21.143627+00:00
0.446,2025-07-02T03:36:26.151213+00:00
0.56,2025-07-02T03:36:31.154006+00:00
0.373,2025-07-02T03:36:36.158592+00:00
0.592,2025-07-02T03:36:41.147598+00:00
0.526,2025-07-02T03:36:46.152699+00:00
0.302,2025-07-02T03:36:51.148384+00:00
0.247,2025-07-02T03:36:56.154474+00:00
0.319,2025-07-02T03:37:01.150519+00:00
0.283,2025-07-02T03:37:06.150797+00:00
0.209,2025-07-02T03:37:11.168358+00:00
0.247,2025-07-02T03:37:16.157735+00:00
0.474,2025-07-02T03:37:21.155958+00:00
0.383,2025-07-02T03:37:26.156420+00:00
0.377,2025-07-02T03:37:31.154930+00:00
0.253,2025-07-02T03:37:36.167036+00:00
0.535,2025-07-02T03:37:41.159857+00:00
0.359,2025-07-02T03:37:46.170251+00:00
0.379,2025-07-02T03:37:51.165280+00:00
0.467,2025-07-02T03:37:56.179084+00:00
0.385,2025-07-02T03:38:01.176089+00:00
0.537,2025-07-02T03:38:06.171628+00:00
0.338,2025-07-02T03:38:11.178098+00:00
0.328,2025-07-02T03:38:16.171068+00:00
0.233,2025-07-02T03:38:21.170592+00:00
0.388,2025-07-02T03:38:26.180356+00:00
0.26,2025-07-02T03:38:31.178668+00:00
0.354,2025-07-02T03:38:36.181311+00:00
0.593,2025-07-02T03:38:41.191967+00:00
0.387,2025-07-02T03:38:46.184837+00:00
0.368,2025-07-02T03:38:51.183024+00:00
0.245,2025-07-02T03:38:56.187578+00:00
0.269,2025-07-02T03:39:01.184887+00:00
0.211,2025-07-02T03:39:06.192720+00:00
0.202,2025-07-02T03:39:11.191373+00:00
0.296,2025-07-02T03:39:16.194918+00:00
0.377,2025-07-02T03:39:21.194716+00:00
0.597,2025-07-02T03:39:26.194807+00:00
0.355,2025-07-02T03:39:31.193734+00:00
0.343,2025-07-02T03:39:36.202963+00:00
0.202,2025-07-02T03:39:41.201348+00:00
0.343,2025-07-02T03:39:46.199394+00:00
0.568,2025-07-02T03:39:51.202314+00:00
0.342,2025-07-02T03:39:56.204061+00:00
0.538,2025-07-02T03:40:01.202374+00:00
0.331,2025-07-02T03:40:06.207450+00:00
0.257,2025-07-02T03:40:11.206381+00:00
0.481,2025-07-02T03:40:16.221476+00:00
0.511,2025-07-02T03:40:21.217299+00:00
0.569,2025-07-02T03:40:26.221958+00:00
0.511,2025-07-02T03:40:31.222203+00:00
0.558,2025-07-02T03:40:36.211751+00:00
0.334,2025-07-02T03:40:41.218134+00:00
0.234,2025-07-02T03:40:46.214636+00:00
0.429,2025-07-02T03:40:51.216678+00:00
0.231,2025-07-02T03:40:56.229724+00:00
0.397,2025-07-02T03:41:01.233179+00:00
0.441,2025-07-02T03:41:06.261276+00:00
0.567,2025-07-02T03:41:11.228266+00:00
0.293,2025-07-02T03:41:16.234730+00:00
0.43,2025-07-02T03:41:21.238720+00:00
