value,time
0.365,2025-07-02T02:20:01.685990+00:00
0.553,2025-07-02T02:20:05.896457+00:00
0.31,2025-07-02T02:20:10.903854+00:00
0.454,2025-07-02T02:20:15.908480+00:00
0.455,2025-07-02T02:20:20.911285+00:00
0.486,2025-07-02T02:20:25.909664+00:00
0.315,2025-07-02T02:20:30.912945+00:00
0.449,2025-07-02T02:20:35.901576+00:00
0.45,2025-07-02T02:20:40.912989+00:00
0.329,2025-07-02T02:20:45.903803+00:00
0.546,2025-07-02T02:20:50.902298+00:00
0.309,2025-07-02T02:20:55.910121+00:00
0.428,2025-07-02T02:21:00.916977+00:00
0.594,2025-07-02T02:21:05.917663+00:00
0.394,2025-07-02T02:21:10.927993+00:00
0.317,2025-07-02T02:21:15.911236+00:00
0.305,2025-07-02T02:21:20.926491+00:00
0.47,2025-07-02T02:21:25.920042+00:00
0.406,2025-07-02T02:21:30.929068+00:00
0.362,2025-07-02T02:21:35.930068+00:00
0.44,2025-07-02T02:21:40.928223+00:00
0.328,2025-07-02T02:21:45.924763+00:00
0.285,2025-07-02T02:21:50.920040+00:00
0.308,2025-07-02T02:21:55.922358+00:00
0.447,2025-07-02T02:22:00.925853+00:00
0.332,2025-07-02T02:22:05.931898+00:00
0.518,2025-07-02T02:22:10.942971+00:00
0.307,2025-07-02T02:22:15.936509+00:00
0.216,2025-07-02T02:22:20.928830+00:00
0.361,2025-07-02T02:22:25.935816+00:00
0.488,2025-07-02T02:22:30.933048+00:00
0.551,2025-07-02T02:22:35.942256+00:00
0.336,2025-07-02T02:22:40.932213+00:00
0.271,2025-07-02T02:22:45.944691+00:00
0.462,2025-07-02T02:22:50.942302+00:00
0.447,2025-07-02T02:22:55.951332+00:00
0.596,2025-07-02T02:23:00.949396+00:00
0.283,2025-07-02T02:23:05.958652+00:00
0.265,2025-07-02T02:23:10.942868+00:00
0.553,2025-07-02T02:23:15.961281+00:00
0.495,2025-07-02T02:23:20.945713+00:00
0.278,2025-07-02T02:23:25.950899+00:00
0.444,2025-07-02T02:23:30.957561+00:00
0.447,2025-07-02T02:23:35.961441+00:00
0.541,2025-07-02T02:23:40.952704+00:00
0.516,2025-07-02T02:23:45.958094+00:00
0.417,2025-07-02T02:23:50.958142+00:00
0.365,2025-07-02T02:23:55.969103+00:00
0.497,2025-07-02T02:24:00.960675+00:00
0.285,2025-07-02T02:24:05.960714+00:00
0.6,2025-07-02T02:24:10.968757+00:00
0.363,2025-07-02T02:24:15.964896+00:00
0.485,2025-07-02T02:24:20.977358+00:00
0.201,2025-07-02T02:24:25.976041+00:00
0.219,2025-07-02T02:24:30.969131+00:00
0.334,2025-07-02T02:24:35.971065+00:00
0.492,2025-07-02T02:24:40.981407+00:00
0.316,2025-07-02T02:24:45.985475+00:00
0.259,2025-07-02T02:24:50.976732+00:00
0.258,2025-07-02T02:24:55.982141+00:00
0.454,2025-07-02T02:25:00.977554+00:00
0.466,2025-07-02T02:25:05.983853+00:00
0.506,2025-07-02T02:25:10.986135+00:00
0.297,2025-07-02T02:25:15.990639+00:00
0.599,2025-07-02T02:25:20.980997+00:00
0.44,2025-07-02T02:25:25.983549+00:00
0.22,2025-07-02T02:25:30.994181+00:00
0.343,2025-07-02T02:25:35.989662+00:00
0.595,2025-07-02T02:25:40.989784+00:00
0.538,2025-07-02T02:25:45.988340+00:00
0.224,2025-07-02T02:25:50.989155+00:00
0.561,2025-07-02T02:25:55.995371+00:00
0.268,2025-07-02T02:26:00.993626+00:00
0.289,2025-07-02T02:26:06.004502+00:00
0.225,2025-07-02T02:26:11.001357+00:00
0.455,2025-07-02T02:26:16.014713+00:00
0.323,2025-07-02T02:26:21.010827+00:00
0.359,2025-07-02T02:26:26.001775+00:00
0.525,2025-07-02T02:26:31.001638+00:00
0.232,2025-07-02T02:26:36.005732+00:00
0.284,2025-07-02T02:26:41.013512+00:00
0.412,2025-07-02T02:26:46.004693+00:00
0.252,2025-07-02T02:26:51.012464+00:00
0.469,2025-07-02T02:26:56.008039+00:00
0.552,2025-07-02T02:27:01.023477+00:00
0.542,2025-07-02T02:27:06.017334+00:00
